t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 1 1 0
0.5 9998 0 1 1 0
0.625 9998 0 1 1 0
0.75 9998 0 1 1 0
0.875 9998 0 1 1 0
1 9998 0 1 1 0
1.125 9998 0 1 1 0
1.25 9998 0 1 1 0
1.375 9998 0 1 1 0
1.5 9998 0 1 1 0
1.625 9998 0 1 1 0
1.75 9998 0 1 1 0
1.875 9998 0 1 1 0
2 9998 0 1 1 0
2.125 9998 0 1 1 0
2.25 9997 1 1 1 0
2.375 9997 1 1 1 0
2.5 9997 1 1 1 0
2.625 9997 0 2 1 0
2.75 9997 0 2 1 0
2.875 9997 0 2 1 0
3 9997 0 2 1 0
3.125 9997 0 2 1 0
3.25 9997 0 2 1 0
3.375 9997 0 2 1 0
3.5 9997 0 2 1 0
3.625 9997 0 2 1 0
3.75 9996 1 2 1 0
3.875 9996 1 1 1 1
4 9996 1 1 1 1
4.125 9996 1 0 2 1
4.25 9996 0 1 2 1
4.375 9996 0 1 2 1
4.5 9993 3 1 2 1
4.625 9992 4 1 2 1
4.75 9991 5 1 2 1
4.875 9991 5 1 2 1
5 9991 5 1 2 1
5.125 9990 6 1 2 1
5.25 9988 8 1 2 1
5.375 9988 8 1 2 1
5.5 9987 9 1 2 1
5.625 9985 11 1 2 1
5.75 9985 10 2 2 1
5.875 9983 12 2 2 1
6 9982 12 3 2 1
6.125 9982 10 5 2 1
6.25 9982 10 5 2 1
6.375 9982 10 5 2 1
6.5 9979 13 5 2 1
6.625 9979 13 5 2 1
6.75 9978 13 6 2 1
6.875 9976 15 6 2 1
7 9976 13 8 2 1
7.125 9975 14 7 3 1
7.25 9974 13 9 3 1
7.375 9973 14 9 3 1
7.5 9971 15 10 3 1
7.625 9968 18 10 3 1
7.75 9967 17 12 3 1
7.875 9962 18 16 3 1
8 9955 23 18 3 1
8.125 9946 31 19 3 1
8.25 9938 36 22 3 1
8.375 9932 34 30 3 1
8.5 9922 42 30 5 1
