t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9997 1 2 0 0
1.125 9996 2 2 0 0
1.25 9996 2 2 0 0
1.375 9996 2 2 0 0
1.5 9996 1 3 0 0
1.625 9995 2 3 0 0
1.75 9995 2 2 1 0
1.875 9995 2 2 1 0
2 9992 5 2 1 0
2.125 9991 6 2 1 0
2.25 9991 6 2 1 0
2.375 9991 6 2 1 0
2.5 9990 6 3 1 0
2.625 9989 6 4 1 0
2.75 9988 6 5 1 0
2.875 9986 8 5 1 0
3 9984 9 5 2 0
3.125 9983 10 4 3 0
3.25 9983 10 4 3 0
3.375 9982 11 4 3 0
3.5 9982 10 5 3 0
3.625 9981 11 5 3 0
3.75 9980 12 5 3 0
3.875 9980 11 6 3 0
4 9979 12 6 3 0
4.125 9978 13 6 3 0
4.25 9977 13 7 3 0
4.375 9974 15 8 3 0
4.5 9971 18 8 3 0
4.625 9968 19 10 3 0
4.75 9965 20 12 3 0
4.875 9961 24 12 3 0
5 9960 25 11 4 0
5.125 9959 23 14 4 0
5.25 9954 25 17 4 0
5.375 9949 28 19 4 0
5.5 9945 30 21 4 0
5.625 9934 39 22 5 0
5.75 9928 44 21 7 0
5.875 9917 53 23 7 0
6 9914 52 24 10 0
6.125 9905 58 26 11 0
6.25 9900 60 28 12 0
6.375 9888 68 32 12 0
6.5 9869 84 35 12 0
6.625 9861 90 37 12 0
6.75 9852 90 45 13 0
6.875 9836 104 46 14 0
7 9811 119 53 17 0
7.125 9795 129 59 17 0
7.25 9774 143 66 17 0
7.375 9755 149 78 18 0
7.5 9732 162 85 21 0
7.625 9699 184 93 24 0
7.75 9665 201 110 24 0
7.875 9637 222 114 27 0
8 9613 236 117 34 0
8.125 9583 245 135 37 0
8.25 9545 270 145 40 0
8.375 9519 275 165 41 0
8.5 9479 300 180 41 0
