t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9996 2 2 0 0
0.5 9994 4 2 0 0
0.625 9992 6 2 0 0
0.75 9992 6 2 0 0
0.875 9991 5 4 0 0
1 9990 6 4 0 0
1.125 9989 7 4 0 0
1.25 9988 7 5 0 0
1.375 9988 6 6 0 0
1.5 9984 9 7 0 0
1.625 9982 11 6 1 0
1.75 9981 12 5 2 0
1.875 9981 10 6 3 0
2 9981 10 6 3 0
2.125 9981 10 6 3 0
2.25 9980 9 8 3 0
2.375 9979 9 8 4 0
2.5 9978 9 8 5 0
2.625 9977 9 8 6 0
2.75 9973 12 9 6 0
2.875 9973 11 9 7 0
3 9973 10 10 7 0
3.125 9973 10 10 7 0
3.25 9972 11 10 7 0
3.375 9972 11 10 7 0
3.5 9971 12 10 7 0
3.625 9971 12 10 7 0
3.75 9970 12 11 7 0
3.875 9969 13 10 8 0
4 9969 10 12 9 0
4.125 9959 20 12 9 0
4.25 9953 25 13 9 0
4.375 9949 29 13 9 0
4.5 9947 29 15 9 0
4.625 9946 27 18 9 0
4.75 9941 32 17 10 0
4.875 9935 36 19 10 0
5 9933 36 20 11 0
5.125 9926 42 21 11 0
5.25 9915 51 23 11 0
5.375 9907 55 27 11 0
5.5 9897 60 30 13 0
5.625 9890 64 32 14 0
5.75 9883 66 36 15 0
5.875 9877 68 38 17 0
6 9872 68 43 17 0
6.125 9859 77 47 17 0
6.25 9844 85 52 19 0
6.375 9819 107 54 20 0
6.5 9805 115 58 22 0
6.625 9786 129 59 26 0
6.75 9772 132 69 27 0
6.875 9743 152 76 29 0
7 9714 175 80 31 0
7.125 9695 183 88 34 0
7.25 9672 193 98 37 0
7.375 9652 199 112 37 0
7.5 9633 207 120 40 0
7.625 9605 225 128 42 0
7.75 9572 240 140 48 0
7.875 9545 254 148 53 0
8 9514 266 165 55 0
8.125 9482 274 187 57 0
8.25 9435 302 204 59 0
8.375 9391 320 226 63 0
8.5 9357 336 236 71 0
