t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9996 2 2 0 0
1.125 9996 2 2 0 0
1.25 9996 2 2 0 0
1.375 9996 2 2 0 0
1.5 9996 1 3 0 0
1.625 9996 1 3 0 0
1.75 9996 1 3 0 0
1.875 9995 2 3 0 0
2 9994 3 3 0 0
2.125 9993 4 3 0 0
2.25 9993 4 2 1 0
2.375 9993 4 2 1 0
2.5 9991 6 2 1 0
2.625 9991 6 2 1 0
2.75 9991 6 1 2 0
2.875 9991 6 1 2 0
3 9991 6 1 2 0
3.125 9991 5 2 2 0
3.25 9990 6 2 2 0
3.375 9990 5 3 2 0
3.5 9983 10 5 2 0
3.625 9980 13 5 2 0
3.75 9979 14 5 2 0
3.875 9973 18 7 2 0
4 9970 19 9 2 0
4.125 9966 19 12 3 0
4.25 9961 22 13 4 0
4.375 9955 28 13 4 0
4.5 9954 29 13 4 0
4.625 9949 32 15 4 0
4.75 9946 32 18 4 0
4.875 9944 33 18 5 0
5 9942 32 21 5 0
5.125 9933 39 23 5 0
5.25 9930 42 23 5 0
5.375 9923 49 22 6 0
5.5 9922 48 23 7 0
5.625 9916 52 24 8 0
5.75 9911 55 25 9 0
5.875 9905 57 28 10 0
6 9900 59 31 10 0
6.125 9892 63 33 12 0
6.25 9887 63 37 13 0
6.375 9877 71 39 13 0
6.5 9869 76 41 14 0
6.625 9859 75 51 15 0
6.75 9843 87 55 15 0
6.875 9831 89 64 16 0
7 9816 97 71 16 0
7.125 9802 100 81 17 0
7.25 9789 110 82 19 0
7.375 9779 115 86 20 0
7.5 9762 124 92 22 0
7.625 9741 137 99 23 0
7.75 9720 151 104 25 0
7.875 9702 161 111 26 0
8 9686 166 121 27 0
8.125 9665 173 130 32 0
8.25 9638 189 140 33 0
8.375 9609 204 150 36 1
8.5 9575 225 159 40 1
