t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9998 0 2 0 0
1.125 9998 0 2 0 0
1.25 9998 0 2 0 0
1.375 9998 0 2 0 0
1.5 9997 1 2 0 0
1.625 9997 1 2 0 0
1.75 9996 2 2 0 0
1.875 9995 3 2 0 0
2 9995 3 2 0 0
2.125 9995 3 2 0 0
2.25 9995 3 2 0 0
2.375 9995 3 2 0 0
2.5 9995 3 2 0 0
2.625 9995 3 2 0 0
2.75 9995 3 2 0 0
2.875 9995 3 2 0 0
3 9995 2 3 0 0
3.125 9995 2 3 0 0
3.25 9995 2 3 0 0
3.375 9995 1 4 0 0
3.5 9995 1 4 0 0
3.625 9995 1 4 0 0
3.75 9995 1 4 0 0
3.875 9994 2 3 1 0
4 9994 2 3 1 0
4.125 9994 2 3 1 0
4.25 9994 2 3 1 0
4.375 9994 1 4 1 0
4.5 9992 3 4 1 0
4.625 9992 3 4 1 0
4.75 9991 3 5 1 0
4.875 9991 3 5 1 0
5 9991 3 5 1 0
5.125 9990 4 5 1 0
5.25 9990 4 5 1 0
5.375 9990 4 5 1 0
5.5 9989 5 5 1 0
5.625 9988 6 5 1 0
5.75 9988 6 5 1 0
5.875 9988 5 6 1 0
6 9986 7 6 1 0
6.125 9985 8 6 1 0
6.25 9985 7 7 1 0
6.375 9984 8 7 1 0
6.5 9982 10 7 1 0
6.625 9981 11 7 1 0
6.75 9981 11 6 2 0
6.875 9978 14 6 2 0
7 9977 15 6 2 0
7.125 9975 17 6 2 0
7.25 9974 17 7 2 0
7.375 9973 17 7 3 0
7.5 9973 17 7 3 0
7.625 9972 16 9 3 0
7.75 9969 19 9 3 0
7.875 9968 17 11 4 0
8 9963 22 11 4 0
8.125 9958 26 12 4 0
8.25 9954 29 13 4 0
8.375 9950 32 13 5 0
8.5 9946 35 13 6 0
