t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 1 1 0
0.5 9997 1 1 1 0
0.625 9997 1 1 1 0
0.75 9997 1 1 1 0
0.875 9996 2 1 1 0
1 9996 2 1 1 0
1.125 9996 1 2 1 0
1.25 9996 1 2 1 0
1.375 9996 1 2 1 0
1.5 9996 1 2 1 0
1.625 9996 1 2 1 0
1.75 9996 1 2 1 0
1.875 9996 1 2 1 0
2 9996 1 2 1 0
2.125 9996 1 2 1 0
2.25 9996 1 2 1 0
2.375 9996 1 2 1 0
2.5 9996 1 2 1 0
2.625 9996 1 2 1 0
2.75 9996 1 2 1 0
2.875 9995 2 2 1 0
3 9994 3 2 1 0
3.125 9994 3 2 1 0
3.25 9994 3 2 1 0
3.375 9994 3 2 1 0
3.5 9994 3 2 1 0
3.625 9994 3 2 1 0
3.75 9994 3 2 1 0
3.875 9993 4 2 1 0
4 9992 4 3 1 0
4.125 9992 3 4 1 0
4.25 9991 4 4 1 0
4.375 9991 3 5 1 0
4.5 9991 3 5 1 0
4.625 9991 3 5 1 0
4.75 9990 4 5 1 0
4.875 9989 5 5 1 0
5 9989 4 6 1 0
5.125 9987 6 6 1 0
5.25 9985 7 7 1 0
5.375 9984 8 7 1 0
5.5 9983 9 7 1 0
5.625 9982 9 8 1 0
5.75 9981 10 8 1 0
5.875 9980 10 9 1 0
6 9978 11 9 2 0
6.125 9975 14 9 2 0
6.25 9973 14 11 2 0
6.375 9970 16 12 2 0
6.5 9968 15 15 2 0
6.625 9965 18 15 2 0
6.75 9962 19 17 2 0
6.875 9958 23 17 2 0
7 9957 22 18 3 0
7.125 9952 27 18 3 0
7.25 9949 30 18 3 0
7.375 9946 30 20 4 0
7.5 9940 36 20 4 0
7.625 9932 41 21 6 0
7.75 9919 52 22 7 0
7.875 9911 54 28 7 0
8 9901 57 35 7 0
8.125 9888 66 38 8 0
8.25 9868 79 44 9 0
8.375 9859 82 47 12 0
8.5 9844 91 51 14 0
