t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9998 0 2 0 0
1.125 9998 0 2 0 0
1.25 9998 0 2 0 0
1.375 9997 1 2 0 0
1.5 9997 1 2 0 0
1.625 9997 1 2 0 0
1.75 9997 1 2 0 0
1.875 9997 1 2 0 0
2 9997 1 2 0 0
2.125 9997 1 2 0 0
2.25 9997 1 2 0 0
2.375 9997 1 2 0 0
2.5 9997 1 2 0 0
2.625 9997 1 2 0 0
2.75 9997 1 2 0 0
2.875 9996 2 2 0 0
3 9996 2 2 0 0
3.125 9996 2 2 0 0
3.25 9996 2 2 0 0
3.375 9996 2 2 0 0
3.5 9996 2 2 0 0
3.625 9996 2 2 0 0
3.75 9996 2 2 0 0
3.875 9996 2 2 0 0
4 9996 2 2 0 0
4.125 9996 2 2 0 0
4.25 9996 1 3 0 0
4.375 9996 1 3 0 0
4.5 9996 1 3 0 0
4.625 9995 2 3 0 0
4.75 9995 2 3 0 0
4.875 9995 2 3 0 0
5 9995 2 3 0 0
5.125 9994 3 3 0 0
5.25 9992 5 3 0 0
5.375 9992 5 3 0 0
5.5 9992 5 3 0 0
5.625 9992 5 2 1 0
5.75 9992 4 3 1 0
5.875 9992 4 3 1 0
6 9992 2 5 1 0
6.125 9989 5 5 1 0
6.25 9987 5 7 1 0
6.375 9986 6 7 1 0
6.5 9985 7 7 1 0
6.625 9985 7 6 2 0
6.75 9985 7 6 2 0
6.875 9981 11 6 2 0
7 9979 13 6 2 0
7.125 9978 12 8 2 0
7.25 9975 15 8 2 0
7.375 9969 20 9 2 0
7.5 9967 21 10 2 0
7.625 9966 20 12 2 0
7.75 9962 23 12 3 0
7.875 9955 27 15 3 0
8 9946 35 16 3 0
8.125 9945 35 17 3 0
8.25 9935 40 21 4 0
8.375 9926 47 23 4 0
8.5 9910 63 22 5 0
