t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9996 2 2 0 0
1.125 9996 2 2 0 0
1.25 9996 2 2 0 0
1.375 9996 2 2 0 0
1.5 9996 2 2 0 0
1.625 9995 3 2 0 0
1.75 9995 2 3 0 0
1.875 9995 1 4 0 0
2 9992 4 4 0 0
2.125 9991 5 4 0 0
2.25 9990 5 5 0 0
2.375 9989 6 5 0 0
2.5 9989 5 6 0 0
2.625 9988 6 5 1 0
2.75 9988 5 6 1 0
2.875 9987 6 6 1 0
3 9986 6 7 1 0
3.125 9986 6 7 1 0
3.25 9985 7 7 1 0
3.375 9983 8 7 2 0
3.5 9981 9 7 3 0
3.625 9978 10 9 3 0
3.75 9975 13 9 3 0
3.875 9968 19 10 3 0
4 9963 21 13 3 0
4.125 9961 23 13 3 0
4.25 9957 25 15 3 0
4.375 9948 33 16 3 0
4.5 9941 39 17 3 0
4.625 9936 42 19 3 0
4.75 9928 45 24 3 0
4.875 9922 48 27 3 0
5 9914 52 31 3 0
5.125 9900 63 33 4 0
5.25 9893 66 35 6 0
5.375 9886 67 40 7 0
5.5 9880 66 46 7 1
5.625 9879 62 49 9 1
5.75 9876 64 47 12 1
5.875 9873 62 52 12 1
6 9870 62 54 13 1
6.125 9868 62 56 13 1
6.25 9867 58 60 14 1
6.375 9864 57 62 16 1
6.5 9863 54 66 16 1
6.625 9861 55 66 17 1
6.75 9861 55 63 20 1
6.875 9861 52 66 20 1
7 9861 45 71 22 1
7.125 9860 43 71 25 1
7.25 9858 43 73 25 1
7.375 9855 40 79 25 1
7.5 9853 37 81 28 1
7.625 9852 36 82 29 1
7.75 9849 36 84 30 1
7.875 9848 36 85 30 1
8 9840 43 85 31 1
8.125 9836 44 86 33 1
8.25 9833 46 86 34 1
8.375 9830 46 89 34 1
8.5 9827 46 90 36 1
8.625 9825 44 93 37 1
8.75 9824 44 94 37 1
8.875 9822 43 94 40 1
9 9821 41 95 42 1
9.125 9819 40 96 44 1
9.25 9817 34 99 49 1
9.375 9815 35 99 50 1
9.5 9813 36 99 51 1
9.625 9812 35 100 52 1
9.75 9806 38 102 53 1
9.875 9801 41 102 55 1
10 9800 38 104 57 1
10.125 9798 40 104 57 1
10.25 9794 41 101 63 1
10.375 9794 37 104 64 1
10.5 9792 37 104 66 1
10.625 9790 35 105 69 1
10.75 9788 33 108 70 1
10.875 9786 30 112 71 1
11 9785 29 113 72 1
11.125 9784 29 109 77 1
11.25 9781 31 108 79 1
11.375 9778 34 106 81 1
11.5 9777 34 104 84 1
11.625 9775 35 104 85 1
11.75 9774 32 105 88 1
11.875 9774 30 107 88 1
12 9771 30 108 90 1
12.125 9770 28 107 94 1
12.25 9769 27 107 96 1
12.375 9764 29 109 97 1
12.5 9762 30 110 97 1
12.625 9760 29 113 97 1
12.75 9756 32 112 99 1
12.875 9755 30 109 105 1
13 9754 29 110 106 1
13.125 9752 29 109 109 1
13.25 9747 32 109 111 1
13.375 9743 34 109 113 1
13.5 9741 34 106 118 1
13.625 9740 31 108 120 1
13.75 9737 32 107 122 2
13.875 9736 32 104 126 2
14 9735 32 103 128 2
14.125 9734 31 103 130 2
14.25 9731 30 103 134 2
14.375 9731 29 101 137 2
14.5 9730 30 97 141 2
14.625 9727 33 92 146 2
14.75 9727 31 92 148 2
14.875 9727 27 94 150 2
15 9726 24 96 152 2
15.125 9725 24 95 154 2
15.25 9722 27 94 155 2
15.375 9721 24 96 157 2
15.5 9720 22 96 160 2
15.625 9718 23 94 163 2
15.75 9717 23 94 164 2
15.875 9716 22 93 167 2
16 9716 19 96 167 2
16.125 9714 20 95 169 2
16.25 9712 21 93 172 2
16.375 9711 22 92 173 2
16.5 9710 23 88 177 2
16.625 9709 23 86 180 2
16.75 9708 23 86 181 2
16.875 9706 25 84 183 2
17 9706 25 84 183 2
17.125 9706 23 85 184 2
17.25 9705 22 86 185 2
17.375 9704 22 87 185 2
17.5 9698 26 88 186 2
17.625 9698 25 85 190 2
17.75 9696 26 85 191 2
17.875 9693 29 84 192 2
18 9691 29 82 196 2
18.125 9690 30 79 199 2
18.25 9690 29 78 201 2
18.375 9688 30 78 202 2
18.5 9688 27 78 205 2
18.625 9688 25 80 205 2
18.75 9687 26 79 206 2
18.875 9685 27 79 207 2
19 9685 25 80 208 2
19.125 9682 27 81 208 2
19.25 9679 29 80 210 2
19.375 9678 28 79 213 2
19.5 9677 29 76 216 2
19.625 9676 27 77 218 2
19.75 9676 26 77 219 2
19.875 9676 23 79 220 2
20 9676 22 78 222 2
20.125 9675 22 75 226 2
20.25 9675 21 74 228 2
20.375 9673 23 74 228 2
20.5 9669 26 73 230 2
20.625 9668 25 75 230 2
20.75 9668 25 74 231 2
20.875 9666 26 74 232 2
21 9666 25 74 233 2
21.125 9662 28 74 234 2
21.25 9662 27 71 238 2
21.375 9661 28 70 239 2
21.5 9659 28 70 241 2
21.625 9659 26 71 242 2
21.75 9658 26 71 243 2
21.875 9656 27 69 246 2
22 9655 28 68 247 2
22.125 9651 31 69 247 2
22.25 9650 29 68 251 2
22.375 9649 29 68 252 2
22.5 9649 27 69 253 2
22.625 9647 28 70 253 2
22.75 9646 28 69 255 2
22.875 9645 29 68 256 2
23 9645 28 69 256 2
23.125 9644 28 69 257 2
23.25 9644 26 69 259 2
23.375 9642 27 68 261 2
23.5 9642 25 69 262 2
23.625 9641 26 65 266 2
23.75 9640 25 67 266 2
23.875 9639 24 68 267 2
