t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9997 1 2 0 0
0.375 9995 3 2 0 0
0.5 9995 3 2 0 0
0.625 9995 3 2 0 0
0.75 9995 3 2 0 0
0.875 9995 3 2 0 0
1 9995 3 2 0 0
1.125 9993 4 3 0 0
1.25 9993 3 4 0 0
1.375 9993 2 5 0 0
1.5 9992 2 6 0 0
1.625 9990 4 6 0 0
1.75 9988 6 6 0 0
1.875 9988 6 6 0 0
2 9987 7 6 0 0
2.125 9984 9 7 0 0
2.25 9983 10 7 0 0
2.375 9982 7 11 0 0
2.5 9980 9 11 0 0
2.625 9976 12 12 0 0
2.75 9974 14 12 0 0
2.875 9971 16 12 1 0
3 9968 19 12 1 0
3.125 9964 22 13 1 0
3.25 9963 22 14 1 0
3.375 9962 21 16 1 0
3.5 9955 26 18 1 0
3.625 9952 25 22 1 0
3.75 9949 28 21 2 0
3.875 9946 30 22 2 0
4 9943 30 24 3 0
4.125 9941 30 26 3 0
4.25 9937 31 27 5 0
4.375 9933 35 27 5 0
4.5 9927 39 29 5 0
4.625 9922 43 30 5 0
4.75 9918 43 34 5 0
4.875 9909 49 37 5 0
5 9900 52 42 6 0
5.125 9896 53 45 6 0
5.25 9889 56 49 6 0
5.375 9885 57 51 7 0
5.5 9878 61 54 7 0
5.625 9863 74 56 7 0
5.75 9851 80 62 7 0
5.875 9845 82 65 8 0
6 9833 89 68 10 0
6.125 9826 93 71 10 0
6.25 9814 99 76 11 0
6.375 9794 114 80 12 0
6.5 9784 117 86 13 0
6.625 9756 134 97 13 0
6.75 9732 154 98 16 0
6.875 9708 164 110 18 0
7 9679 184 118 19 0
7.125 9652 196 132 20 0
7.25 9626 216 138 20 0
7.375 9602 226 151 21 0
7.5 9579 238 159 24 0
7.625 9551 250 171 28 0
7.75 9528 259 183 30 0
7.875 9485 282 197 36 0
8 9469 282 209 40 0
8.125 9427 304 227 42 0
8.25 9389 327 238 46 0
8.375 9348 349 250 52 1
8.5 9304 374 268 53 1
8.625 9263 396 278 62 1
8.75 9220 414 295 70 1
8.875 9181 426 317 74 2
9 9150 428 341 79 2
9.125 9118 434 358 88 2
9.25 9090 437 375 96 2
9.375 9044 460 392 102 2
9.5 9005 471 408 114 2
9.625 8981 456 437 124 2
9.75 8943 462 462 131 2
9.875 8891 486 481 140 2
10 8846 506 501 145 2
10.125 8796 524 528 150 2
10.25 8775 514 548 161 2
10.375 8747 511 570 170 2
10.5 8711 520 584 183 2
10.625 8682 515 606 193 4
10.75 8656 500 636 203 5
10.875 8630 492 663 210 5
11 8601 493 670 231 5
11.125 8574 488 686 247 5
11.25 8556 487 695 257 5
11.375 8534 478 706 277 5
11.5 8515 465 728 287 5
11.625 8489 459 740 307 5
11.75 8471 447 756 321 5
11.875 8453 439 764 339 5
12 8436 432 771 356 5
12.125 8420 427 771 376 6
12.25 8404 420 778 392 6
12.375 8387 412 786 409 6
12.5 8380 390 800 424 6
12.625 8364 384 806 440 6
12.75 8350 372 814 457 7
12.875 8342 362 820 469 7
13 8321 356 829 487 7
13.125 8305 353 832 502 8
13.25 8290 342 840 519 9
13.375 8280 338 840 533 9
13.5 8273 320 852 546 9
13.625 8264 310 855 562 9
13.75 8253 303 861 574 9
13.875 8243 282 877 588 10
14 8236 272 867 615 10
14.125 8231 258 867 634 10
14.25 8221 255 858 656 10
14.375 8215 249 849 677 10
14.5 8211 231 854 694 10
14.625 8205 221 852 712 10
14.75 8201 211 849 729 10
14.875 8192 212 838 748 10
15 8187 206 838 759 10
15.125 8181 201 828 780 10
15.25 8172 196 830 792 10
15.375 8163 194 826 807 10
15.5 8159 186 824 821 10
15.625 8151 182 820 837 10
15.75 8143 180 807 860 10
15.875 8140 174 801 875 10
16 8134 168 791 896 11
16.125 8131 156 798 904 11
16.25 8124 152 791 922 11
16.375 8119 146 779 945 11
16.5 8116 146 772 955 11
16.625 8114 137 770 968 11
16.75 8107 138 761 983 11
16.875 8105 132 754 998 11
17 8102 128 752 1007 11
17.125 8098 125 742 1024 11
17.25 8093 124 729 1043 11
17.375 8089 123 724 1053 11
17.5 8082 123 713 1070 12
17.625 8078 121 706 1083 12
17.75 8076 119 698 1095 12
17.875 8072 116 687 1113 12
18 8070 111 681 1126 12
18.125 8068 107 673 1140 12
18.25 8065 104 664 1154 13
18.375 8061 106 651 1169 13
18.5 8061 100 642 1184 13
18.625 8058 92 639 1198 13
18.75 8055 90 631 1211 13
18.875 8054 86 626 1221 13
19 8051 82 614 1240 13
19.125 8050 79 600 1257 14
19.25 8047 76 588 1275 14
19.375 8046 71 579 1288 16
19.5 8045 66 569 1303 17
19.625 8045 62 563 1313 17
19.75 8044 61 550 1328 17
19.875 8040 61 541 1341 17
20 8040 60 524 1357 19
20.125 8038 61 514 1368 19
20.25 8036 56 511 1378 19
20.375 8034 54 499 1394 19
20.5 8034 49 487 1409 21
20.625 8034 48 480 1417 21
20.75 8032 46 475 1426 21
20.875 8030 46 463 1440 21
21 8028 48 451 1452 21
21.125 8027 46 450 1456 21
21.25 8026 43 443 1467 21
21.375 8025 41 437 1476 21
21.5 8025 38 426 1490 21
21.625 8024 35 422 1497 22
21.75 8023 33 418 1504 22
21.875 8023 31 413 1511 22
22 8023 30 409 1516 22
22.125 8023 29 398 1528 22
22.25 8023 29 391 1535 22
22.375 8023 27 387 1541 22
22.5 8020 26 387 1545 22
22.625 8019 26 380 1553 22
22.75 8018 26 372 1561 23
22.875 8017 27 362 1571 23
23 8017 27 357 1576 23
23.125 8015 27 353 1582 23
23.25 8013 26 351 1587 23
23.375 8013 25 348 1591 23
23.5 8013 22 346 1596 23
