t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9997 1 2 0 0
0.375 9995 3 2 0 0
0.5 9992 5 3 0 0
0.625 9991 6 3 0 0
0.75 9987 10 3 0 0
0.875 9987 10 3 0 0
1 9987 10 3 0 0
1.125 9986 11 3 0 0
1.25 9984 11 5 0 0
1.375 9978 15 7 0 0
1.5 9974 17 9 0 0
1.625 9972 16 12 0 0
1.75 9960 27 13 0 0
1.875 9952 33 15 0 0
2 9944 38 17 1 0
2.125 9934 44 21 1 0
2.25 9923 52 24 1 0
2.375 9915 59 22 4 0
2.5 9904 69 23 4 0
2.625 9896 75 25 4 0
2.75 9879 86 30 5 0
2.875 9866 95 33 6 0
3 9852 106 35 7 0
3.125 9836 114 43 7 0
3.25 9828 112 50 10 0
3.375 9811 123 55 11 0
3.5 9792 130 67 11 0
3.625 9773 139 75 13 0
3.75 9754 150 82 14 0
3.875 9736 157 89 18 0
4 9712 170 97 21 0
4.125 9684 194 99 23 0
4.25 9668 195 112 25 0
4.375 9641 213 119 27 0
4.5 9610 238 122 30 0
4.625 9580 253 135 32 0
4.75 9542 277 147 34 0
4.875 9512 290 160 38 0
5 9468 313 175 44 0
5.125 9423 344 185 48 0
5.25 9375 369 205 51 0
5.375 9332 383 231 54 0
5.5 9286 406 244 64 0
5.625 9237 428 267 68 0
5.75 9184 452 288 76 0
5.875 9136 466 314 84 0
6 9077 489 345 89 0
6.125 9030 508 368 94 0
6.25 8966 536 396 102 0
6.375 8907 554 428 111 0
6.5 8845 577 462 116 0
6.625 8774 610 494 122 0
6.75 8696 645 519 140 0
6.875 8622 668 560 150 0
7 8552 691 593 163 1
7.125 8543 657 626 173 1
7.25 8538 623 650 188 1
7.375 8530 594 675 200 1
7.5 8521 563 697 218 1
7.625 8518 535 712 234 1
7.75 8511 514 717 257 1
7.875 8501 497 727 274 1
8 8488 470 757 284 1
8.125 8481 449 775 294 1
8.25 8472 427 794 306 1
8.375 8460 415 799 325 1
8.5 8449 404 800 346 1
8.625 8442 383 815 358 2
8.75 8437 360 828 373 2
8.875 8429 345 834 389 3
9 8424 333 834 406 3
9.125 8420 313 839 424 4
9.25 8414 299 840 442 5
9.375 8411 288 840 456 5
9.5 8406 281 839 469 5
9.625 8403 266 843 483 5
9.75 8401 255 839 500 5
9.875 8401 236 839 519 5
10 8397 223 843 532 5
10.125 8396 206 846 547 5
10.25 8396 193 845 561 5
10.375 8394 183 844 574 5
10.5 8391 170 846 588 5
10.625 8388 164 834 609 5
10.75 8384 160 825 626 5
10.875 8381 151 813 650 5
11 8378 146 807 664 5
11.125 8373 140 797 685 5
11.25 8372 133 789 701 5
11.375 8368 126 783 718 5
11.5 8365 121 774 735 5
11.625 8361 123 758 753 5
11.75 8360 118 744 773 5
11.875 8359 112 731 792 6
12 8354 109 726 805 6
12.125 8354 100 721 818 7
12.25 8351 96 718 828 7
12.375 8348 88 719 838 7
12.5 8346 83 710 854 7
12.625 8344 80 695 874 7
12.75 8343 74 686 890 7
12.875 8343 69 674 907 7
13 8343 63 665 922 7
13.125 8342 58 659 933 8
13.25 8340 53 657 942 8
13.375 8337 53 643 959 8
13.5 8337 51 632 972 8
13.625 8337 47 623 985 8
13.75 8336 43 617 996 8
13.875 8336 40 606 1010 8
14 8334 36 596 1026 8
14.125 8334 35 591 1031 9
14.25 8332 33 585 1041 9
14.375 8332 30 578 1051 9
14.5 8330 28 572 1061 9
14.625 8327 29 555 1080 9
14.75 8325 27 543 1096 9
14.875 8325 23 533 1110 9
15 8324 20 522 1125 9
15.125 8322 20 517 1132 9
15.25 8322 18 507 1144 9
15.375 8320 17 502 1152 9
15.5 8319 16 494 1162 9
15.625 8317 17 485 1172 9
15.75 8316 17 475 1183 9
15.875 8313 19 470 1189 9
16 8312 20 460 1199 9
16.125 8312 19 450 1210 9
16.25 8312 18 440 1221 9
16.375 8311 15 435 1230 9
16.5 8310 16 429 1236 9
16.625 8309 16 424 1241 10
16.75 8308 16 414 1252 10
16.875 8308 15 410 1257 10
17 8308 15 402 1265 10
17.125 8308 14 392 1276 10
17.25 8306 15 381 1288 10
17.375 8305 12 370 1303 10
17.5 8305 12 361 1312 10
17.625 8304 12 356 1318 10
17.75 8299 17 350 1324 10
17.875 8298 17 340 1335 10
18 8298 16 331 1345 10
18.125 8297 16 325 1352 10
18.25 8297 13 322 1358 10
18.375 8296 14 317 1363 10
18.5 8296 14 317 1363 10
18.625 8296 12 316 1366 10
18.75 8296 11 313 1370 10
18.875 8295 11 309 1375 10
19 8295 11 307 1377 10
19.125 8295 9 303 1383 10
19.25 8293 11 298 1388 10
19.375 8293 10 288 1399 10
19.5 8293 9 283 1405 10
19.625 8293 9 278 1410 10
19.75 8293 9 271 1417 10
19.875 8293 8 268 1421 10
20 8292 8 266 1424 10
20.125 8291 9 263 1427 10
20.25 8291 9 255 1435 10
20.375 8291 8 249 1442 10
20.5 8290 8 246 1446 10
20.625 8290 8 242 1450 10
20.75 8290 8 238 1454 10
20.875 8290 8 234 1458 10
21 8289 8 231 1462 10
21.125 8289 8 225 1468 10
21.25 8289 7 221 1473 10
21.375 8289 6 214 1481 10
21.5 8289 6 209 1486 10
21.625 8289 5 207 1488 11
21.75 8289 5 202 1493 11
21.875 8289 5 196 1499 11
22 8289 4 192 1504 11
22.125 8289 3 186 1511 11
22.25 8288 4 184 1513 11
22.375 8288 3 182 1515 12
22.5 8288 3 178 1519 12
22.625 8287 4 176 1521 12
22.75 8287 4 171 1526 12
22.875 8287 4 170 1527 12
23 8287 3 170 1528 12
23.125 8287 3 166 1532 12
23.25 8287 3 166 1532 12
