t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9996 1 3 0 0
0.875 9996 1 3 0 0
1 9996 0 4 0 0
1.125 9994 2 4 0 0
1.25 9994 2 4 0 0
1.375 9994 2 3 1 0
1.5 9993 3 2 2 0
1.625 9991 5 2 2 0
1.75 9990 5 3 2 0
1.875 9989 6 3 2 0
2 9988 6 4 2 0
2.125 9987 7 4 2 0
2.25 9986 8 4 2 0
2.375 9985 9 4 2 0
2.5 9985 9 4 2 0
2.625 9984 9 5 2 0
2.75 9983 10 4 3 0
2.875 9982 11 4 3 0
3 9981 12 4 3 0
3.125 9981 12 4 3 0
3.25 9980 11 6 3 0
3.375 9978 13 6 3 0
3.5 9977 14 6 3 0
3.625 9976 14 7 3 0
3.75 9976 14 7 3 0
3.875 9976 12 9 3 0
4 9976 11 10 3 0
4.125 9974 13 9 4 0
4.25 9973 13 9 5 0
4.375 9972 14 9 5 0
4.5 9971 15 9 5 0
4.625 9968 17 10 5 0
4.75 9965 19 11 5 0
4.875 9963 19 12 6 0
5 9959 21 14 6 0
5.125 9956 23 15 6 0
5.25 9954 23 17 6 0
5.375 9947 30 15 8 0
5.5 9940 34 18 8 0
5.625 9935 37 20 8 0
5.75 9927 43 22 8 0
5.875 9918 50 23 9 0
6 9907 59 24 10 0
6.125 9900 61 29 10 0
6.25 9888 69 32 11 0
6.375 9882 71 36 11 0
6.5 9871 77 41 11 0
6.625 9857 85 47 11 0
6.75 9852 84 52 12 0
6.875 9841 89 56 14 0
7 9826 94 66 14 0
7.125 9809 105 69 17 0
7.25 9794 109 79 18 0
7.375 9773 123 84 20 0
7.5 9755 136 89 20 0
7.625 9739 146 92 23 0
7.75 9715 161 99 25 0
7.875 9691 173 110 26 0
8 9670 185 117 28 0
8.125 9641 200 130 29 0
8.25 9618 208 145 29 0
8.375 9583 223 164 30 0
8.5 9558 236 172 34 0
