t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9998 0 2 0 0
1.125 9997 1 2 0 0
1.25 9997 1 2 0 0
1.375 9997 1 2 0 0
1.5 9996 2 2 0 0
1.625 9996 2 2 0 0
1.75 9996 2 2 0 0
1.875 9996 2 2 0 0
2 9996 1 3 0 0
2.125 9996 1 3 0 0
2.25 9996 1 2 1 0
2.375 9996 1 2 1 0
2.5 9996 1 2 1 0
2.625 9996 1 2 1 0
2.75 9996 0 3 1 0
2.875 9996 0 3 1 0
3 9995 1 2 2 0
3.125 9994 2 2 2 0
3.25 9994 2 2 2 0
3.375 9994 1 3 2 0
3.5 9993 2 3 2 0
3.625 9993 2 3 2 0
3.75 9993 2 3 2 0
3.875 9992 3 3 2 0
4 9992 3 3 2 0
4.125 9992 3 3 2 0
4.25 9992 3 3 2 0
4.375 9991 3 4 2 0
4.5 9991 3 3 3 0
4.625 9991 3 3 3 0
4.75 9990 4 3 3 0
4.875 9990 4 3 3 0
5 9990 3 4 3 0
5.125 9989 4 4 3 0
5.25 9987 6 4 3 0
5.375 9986 6 5 3 0
5.5 9986 6 5 3 0
5.625 9986 5 6 3 0
5.75 9985 6 6 3 0
5.875 9985 6 6 3 0
6 9985 5 7 3 0
6.125 9984 6 7 3 0
6.25 9983 7 7 3 0
6.375 9983 6 8 3 0
6.5 9980 8 9 3 0
6.625 9979 9 9 3 0
6.75 9975 13 9 3 0
6.875 9972 13 12 3 0
7 9966 19 12 3 0
7.125 9965 17 15 3 0
7.25 9960 20 16 4 0
7.375 9958 20 18 4 0
7.5 9954 24 18 4 0
7.625 9952 23 20 5 0
7.75 9938 37 19 6 0
7.875 9932 42 20 6 0
8 9927 44 23 6 0
8.125 9924 45 25 6 0
8.25 9920 44 30 6 0
8.375 9911 50 31 8 0
8.5 9907 50 34 9 0
