t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9996 2 1 1 0
0.875 9996 0 3 1 0
1 9995 1 2 2 0
1.125 9995 1 2 2 0
1.25 9995 1 2 2 0
1.375 9995 1 2 2 0
1.5 9995 1 2 2 0
1.625 9995 1 2 2 0
1.75 9994 2 2 2 0
1.875 9993 3 2 2 0
2 9993 3 2 2 0
2.125 9993 3 2 2 0
2.25 9993 3 2 2 0
2.375 9993 2 3 2 0
2.5 9992 3 3 2 0
2.625 9991 4 3 2 0
2.75 9991 4 3 2 0
2.875 9991 4 3 2 0
3 9990 5 3 2 0
3.125 9990 5 3 2 0
3.25 9990 5 3 2 0
3.375 9990 5 3 2 0
3.5 9990 4 4 2 0
3.625 9990 4 4 2 0
3.75 9990 3 5 2 0
3.875 9990 3 5 2 0
4 9990 3 4 3 0
4.125 9990 3 4 3 0
4.25 9990 3 4 3 0
4.375 9990 3 4 3 0
4.5 9988 4 5 3 0
4.625 9987 4 6 3 0
4.75 9987 4 6 3 0
4.875 9987 4 6 3 0
5 9987 4 6 3 0
5.125 9986 5 6 3 0
5.25 9986 5 6 3 0
5.375 9986 4 7 3 0
5.5 9984 6 7 3 0
5.625 9984 6 7 3 0
5.75 9983 7 7 3 0
5.875 9982 8 7 3 0
6 9981 9 6 4 0
6.125 9981 8 7 4 0
6.25 9980 9 7 4 0
6.375 9979 10 7 4 0
6.5 9979 10 7 4 0
6.625 9979 10 5 6 0
6.75 9978 10 6 6 0
6.875 9977 10 7 6 0
7 9976 9 9 6 0
7.125 9974 8 12 6 0
7.25 9972 9 13 6 0
7.375 9969 11 14 6 0
7.5 9968 12 14 6 0
7.625 9967 12 14 7 0
7.75 9965 12 16 7 0
7.875 9962 15 16 7 0
8 9955 20 18 7 0
8.125 9952 21 20 7 0
8.25 9947 23 23 7 0
8.375 9942 27 22 9 0
8.5 9941 25 24 10 0
8.625 9937 28 25 10 0
8.75 9930 33 26 11 0
8.875 9923 39 25 13 0
9 9917 41 29 13 0
9.125 9910 45 30 15 0
9.25 9906 45 33 16 0
9.375 9898 53 33 16 0
9.5 9892 56 36 16 0
9.625 9882 62 39 17 0
9.75 9872 68 43 17 0
9.875 9852 83 48 17 0
10 9844 82 57 17 0
10.125 9826 92 64 18 0
10.25 9811 101 69 18 1
10.375 9797 111 73 18 1
10.5 9783 120 74 22 1
10.625 9762 135 78 24 1
10.75 9750 134 89 26 1
10.875 9722 158 92 27 1
11 9705 165 98 30 2
11.125 9686 171 106 35 2
11.25 9670 174 118 36 2
11.375 9658 174 125 41 2
11.5 9642 173 138 45 2
11.625 9610 192 151 45 2
11.75 9580 208 165 45 2
11.875 9538 240 174 46 2
12 9490 281 179 48 2
12.125 9454 302 191 51 2
12.25 9411 324 207 56 2
12.375 9377 345 214 62 2
12.5 9326 379 228 65 2
12.625 9280 405 242 71 2
12.75 9247 417 259 75 2
12.875 9203 438 277 80 2
13 9162 459 291 86 2
13.125 9113 474 315 96 2
13.25 9060 492 342 103 3
13.375 9003 513 374 107 3
13.5 8942 528 415 112 3
13.625 8891 541 441 124 3
13.75 8839 560 462 136 3
13.875 8795 581 478 143 3
14 8737 608 500 152 3
14.125 8688 618 528 163 3
14.25 8631 645 548 172 4
14.375 8559 676 583 178 4
14.5 8495 680 629 191 5
14.625 8432 698 659 206 5
14.75 8370 723 681 221 5
14.875 8309 736 710 240 5
15 8268 734 739 254 5
15.125 8199 762 765 269 5
15.25 8136 777 797 285 5
15.375 8082 783 837 293 5
15.5 8010 814 862 309 5
15.625 7935 838 896 326 5
15.75 7862 859 927 347 5
15.875 7784 884 965 362 5
16 7713 914 992 376 5
16.125 7638 915 1047 395 5
16.25 7562 919 1097 417 5
16.375 7490 930 1136 439 5
16.5 7428 935 1178 453 6
16.625 7362 939 1207 486 6
16.75 7285 966 1236 506 7
16.875 7231 968 1249 545 7
17 7163 973 1289 568 7
17.125 7097 978 1319 599 7
17.25 7015 1005 1340 633 7
17.375 6946 1011 1375 661 7
17.5 6890 1002 1407 694 7
17.625 6820 1003 1447 723 7
17.75 6743 1014 1489 747 7
17.875 6687 1025 1503 778 7
18 6625 1019 1536 813 7
18.125 6558 1033 1548 854 7
18.25 6476 1049 1567 900 8
18.375 6407 1055 1606 924 8
18.5 6355 1037 1643 956 9
18.625 6276 1060 1657 997 10
18.75 6192 1083 1691 1024 10
18.875 6132 1075 1721 1062 10
19 6070 1067 1766 1087 10
19.125 6008 1058 1796 1128 10
19.25 5947 1056 1829 1158 10
19.375 5879 1071 1838 1202 10
19.5 5812 1067 1865 1246 10
19.625 5743 1063 1899 1283 12
19.75 5689 1065 1913 1320 13
19.875 5621 1059 1938 1368 14
20 5547 1060 1973 1406 14
20.125 5465 1075 1997 1449 14
20.25 5415 1058 2023 1490 14
20.375 5369 1031 2053 1533 14
20.5 5304 1050 2049 1583 14
20.625 5243 1038 2076 1628 15
20.75 5183 1029 2097 1675 16
20.875 5129 1006 2132 1717 16
21 5056 1024 2143 1761 16
21.125 5013 1001 2171 1798 17
21.25 4942 1012 2196 1833 17
21.375 4886 1002 2215 1880 17
21.5 4825 989 2239 1930 17
21.625 4774 979 2252 1976 19
21.75 4734 967 2257 2023 19
21.875 4674 975 2266 2066 19
22 4615 968 2288 2110 19
22.125 4567 955 2308 2150 20
22.25 4515 941 2321 2203 20
22.375 4473 921 2334 2252 20
22.5 4430 901 2355 2294 20
22.625 4377 895 2361 2347 20
22.75 4329 885 2377 2389 20
22.875 4281 878 2387 2433 21
