t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9997 0 3 0 0
0.375 9996 1 3 0 0
0.5 9996 1 3 0 0
0.625 9996 1 3 0 0
0.75 9996 1 3 0 0
0.875 9996 1 3 0 0
1 9996 0 4 0 0
1.125 9996 0 4 0 0
1.25 9996 0 4 0 0
1.375 9996 0 4 0 0
1.5 9994 2 3 1 0
1.625 9994 2 3 1 0
1.75 9994 2 3 1 0
1.875 9994 2 3 1 0
2 9994 1 4 1 0
2.125 9993 2 4 1 0
2.25 9993 2 4 1 0
2.375 9993 2 4 1 0
2.5 9993 2 4 1 0
2.625 9993 2 4 1 0
2.75 9993 2 3 2 0
2.875 9992 2 4 2 0
3 9991 3 4 2 0
3.125 9991 3 4 2 0
3.25 9991 3 4 2 0
3.375 9991 3 3 3 0
3.5 9991 3 3 3 0
3.625 9991 3 3 3 0
3.75 9991 3 3 3 0
3.875 9991 3 3 3 0
4 9991 3 3 3 0
4.125 9990 4 3 3 0
4.25 9990 4 3 3 0
4.375 9990 3 4 3 0
4.5 9990 2 4 4 0
4.625 9990 2 4 4 0
4.75 9990 2 4 4 0
4.875 9988 4 4 4 0
5 9986 6 4 4 0
5.125 9986 6 4 4 0
5.25 9986 5 5 4 0
5.375 9984 7 5 4 0
5.5 9984 7 5 4 0
5.625 9983 8 5 4 0
5.75 9983 6 7 4 0
5.875 9982 6 8 4 0
6 9982 6 8 4 0
6.125 9979 8 9 4 0
6.25 9977 10 9 4 0
6.375 9975 12 9 4 0
6.5 9975 12 9 4 0
6.625 9973 12 11 4 0
6.75 9973 11 12 4 0
6.875 9971 10 15 4 0
7 9971 9 16 4 0
7.125 9968 11 17 4 0
7.25 9965 13 18 4 0
7.375 9962 14 20 4 0
7.5 9959 15 21 5 0
7.625 9954 19 21 6 0
7.75 9952 20 22 6 0
7.875 9947 23 24 6 0
8 9943 27 23 7 0
8.125 9936 32 25 7 0
8.25 9933 33 27 7 0
8.375 9929 36 28 7 0
8.5 9923 41 28 8 0
8.625 9918 45 28 9 0
8.75 9912 46 31 11 0
8.875 9909 44 35 12 0
9 9900 47 40 13 0
9.125 9892 52 42 14 0
9.25 9883 56 46 15 0
9.375 9878 58 48 16 0
9.5 9867 67 48 18 0
9.625 9856 72 53 19 0
9.75 9847 76 57 20 0
9.875 9844 72 63 21 0
10 9832 78 68 22 0
10.125 9821 83 73 23 0
10.25 9812 83 78 27 0
10.375 9801 86 85 28 0
10.5 9791 88 91 30 0
10.625 9773 98 95 34 0
10.75 9752 115 98 35 0
10.875 9733 128 102 37 0
11 9710 148 105 37 0
11.125 9686 164 110 40 0
11.25 9666 173 120 41 0
11.375 9639 192 127 42 0
11.5 9613 208 135 44 0
11.625 9582 233 140 45 0
11.75 9555 237 161 47 0
11.875 9525 251 174 50 0
12 9485 277 186 52 0
12.125 9444 304 194 58 0
12.25 9405 318 217 60 0
12.375 9360 344 226 70 0
12.5 9323 357 246 74 0
12.625 9278 382 259 81 0
12.75 9221 416 275 88 0
12.875 9166 454 287 93 0
13 9113 469 318 100 0
13.125 9055 496 339 109 1
13.25 8993 531 360 115 1
13.375 8925 563 388 123 1
13.5 8839 605 417 137 2
13.625 8767 642 439 150 2
13.75 8686 679 475 158 2
13.875 8609 714 513 162 2
14 8520 763 537 178 2
14.125 8413 815 577 192 3
14.25 8324 832 634 207 3
14.375 8232 869 672 223 4
14.5 8139 906 714 237 4
14.625 8036 962 747 251 4
14.75 7945 1001 776 274 4
14.875 7850 1036 827 283 4
15 7753 1067 873 303 4
15.125 7658 1090 919 329 4
15.25 7574 1101 966 355 4
15.375 7476 1130 1017 373 4
15.5 7353 1182 1070 391 4
15.625 7240 1225 1115 416 4
15.75 7123 1264 1173 435 5
15.875 7018 1283 1236 458 5
16 6900 1319 1293 483 5
16.125 6774 1365 1341 514 6
16.25 6657 1409 1391 537 6
16.375 6540 1430 1456 567 7
16.5 6417 1471 1511 594 7
16.625 6294 1512 1565 622 7
16.75 6171 1532 1637 651 9
16.875 6049 1559 1691 692 9
17 5950 1575 1726 739 10
17.125 5833 1582 1811 764 10
17.25 5721 1589 1892 787 11
17.375 5618 1595 1950 826 11
17.5 5522 1583 1998 885 12
17.625 5413 1602 2045 928 12
17.75 5311 1600 2098 977 14
17.875 5212 1605 2148 1021 14
18 5108 1612 2200 1066 14
18.125 4996 1625 2255 1110 14
18.25 4892 1637 2312 1145 14
18.375 4785 1644 2373 1183 15
18.5 4669 1649 2439 1227 16
18.625 4563 1655 2485 1281 16
18.75 4470 1661 2518 1335 16
18.875 4372 1657 2559 1396 16
19 4262 1668 2600 1454 16
19.125 4172 1667 2636 1509 16
19.25 4074 1660 2676 1571 19
19.375 3974 1650 2739 1618 19
19.5 3874 1662 2767 1677 20
19.625 3788 1636 2822 1733 21
19.75 3702 1617 2858 1802 21
19.875 3617 1619 2887 1855 22
20 3511 1636 2913 1918 22
20.125 3436 1595 2970 1976 23
20.25 3354 1568 3003 2050 25
20.375 3271 1547 3044 2113 25
20.5 3199 1520 3079 2176 26
20.625 3116 1510 3102 2245 27
20.75 3027 1508 3127 2311 27
20.875 2948 1478 3183 2364 27
21 2868 1465 3212 2428 27
21.125 2800 1434 3234 2505 27
21.25 2739 1410 3254 2570 27
21.375 2676 1394 3259 2644 27
21.5 2608 1382 3278 2704 28
21.625 2539 1356 3294 2782 29
21.75 2477 1323 3324 2847 29
21.875 2416 1309 3328 2917 30
22 2359 1279 3351 2981 30
22.125 2304 1247 3373 3046 30
22.25 2251 1221 3375 3123 30
22.375 2195 1201 3386 3188 30
22.5 2141 1188 3378 3262 31
