t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 1 1 0
0.625 9998 0 1 1 0
0.75 9998 0 1 1 0
0.875 9998 0 1 1 0
1 9998 0 1 1 0
1.125 9998 0 1 1 0
1.25 9998 0 1 1 0
1.375 9998 0 1 1 0
1.5 9998 0 1 1 0
1.625 9997 1 1 1 0
1.75 9997 1 1 1 0
1.875 9997 1 1 1 0
2 9997 1 1 1 0
2.125 9997 1 1 1 0
2.25 9997 1 1 1 0
2.375 9997 1 1 1 0
2.5 9997 1 1 1 0
2.625 9997 1 1 1 0
2.75 9997 1 1 1 0
2.875 9997 1 1 1 0
3 9997 1 1 1 0
3.125 9996 2 1 1 0
3.25 9996 2 1 1 0
3.375 9996 2 1 1 0
3.5 9996 1 2 1 0
3.625 9995 1 3 1 0
3.75 9995 1 3 1 0
3.875 9994 2 3 1 0
4 9994 2 3 1 0
4.125 9994 2 3 1 0
4.25 9994 2 3 1 0
4.375 9994 2 3 1 0
4.5 9994 2 3 1 0
4.625 9994 2 3 1 0
4.75 9994 2 2 2 0
4.875 9994 2 2 2 0
5 9994 1 3 2 0
5.125 9993 2 3 2 0
5.25 9993 2 3 2 0
5.375 9993 2 3 2 0
5.5 9993 2 3 2 0
5.625 9992 3 3 2 0
5.75 9991 2 5 2 0
5.875 9988 5 5 2 0
6 9986 7 5 2 0
6.125 9985 7 6 2 0
6.25 9980 12 6 2 0
6.375 9978 11 9 2 0
6.5 9978 9 11 2 0
6.625 9976 11 11 2 0
6.75 9976 11 11 2 0
6.875 9973 14 11 2 0
7 9971 15 12 2 0
7.125 9967 18 13 2 0
7.25 9965 18 15 2 0
7.375 9965 16 16 3 0
7.5 9961 19 16 4 0
7.625 9958 19 19 4 0
7.75 9956 20 20 4 0
7.875 9955 20 20 5 0
8 9954 21 20 5 0
8.125 9950 24 21 5 0
8.25 9944 29 21 6 0
8.375 9940 33 21 6 0
8.5 9935 34 25 6 0
