t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9998 0 2 0 0
1.125 9997 1 2 0 0
1.25 9997 1 2 0 0
1.375 9997 1 2 0 0
1.5 9997 1 2 0 0
1.625 9997 1 1 1 0
1.75 9997 1 1 1 0
1.875 9997 1 1 1 0
2 9997 1 1 1 0
2.125 9997 1 1 1 0
2.25 9997 1 1 1 0
2.375 9997 1 1 1 0
2.5 9997 1 1 1 0
2.625 9997 0 2 1 0
2.75 9997 0 2 1 0
2.875 9997 0 2 1 0
3 9997 0 2 1 0
3.125 9996 1 1 2 0
3.25 9995 2 1 2 0
3.375 9995 2 1 2 0
3.5 9995 2 1 2 0
3.625 9995 2 1 2 0
3.75 9994 2 2 2 0
3.875 9994 2 2 2 0
4 9994 2 2 2 0
4.125 9993 3 2 2 0
4.25 9993 3 2 2 0
4.375 9992 4 2 2 0
4.5 9992 3 3 2 0
4.625 9992 3 3 2 0
4.75 9992 3 3 2 0
4.875 9991 3 4 2 0
5 9991 3 4 2 0
5.125 9991 3 4 2 0
5.25 9991 3 4 2 0
5.375 9991 3 4 2 0
5.5 9989 5 4 2 0
5.625 9988 5 5 2 0
5.75 9987 6 5 2 0
5.875 9987 5 6 2 0
6 9986 6 5 3 0
6.125 9985 6 6 3 0
6.25 9984 7 5 4 0
6.375 9983 8 5 4 0
6.5 9982 7 7 4 0
6.625 9978 10 8 4 0
6.75 9973 14 9 4 0
6.875 9967 20 9 4 0
7 9966 20 10 4 0
7.125 9965 18 13 4 0
7.25 9961 21 14 4 0
7.375 9956 25 14 5 0
7.5 9950 27 18 5 0
7.625 9946 29 20 5 0
7.75 9944 30 21 5 0
7.875 9938 34 23 5 0
8 9928 42 25 5 0
8.125 9918 51 26 5 0
8.25 9910 55 29 6 0
8.375 9896 66 32 6 0
8.5 9883 78 31 8 0
