t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 1 1 0
0.625 9998 0 1 1 0
0.75 9998 0 1 1 0
0.875 9998 0 1 1 0
1 9998 0 1 1 0
1.125 9997 1 1 1 0
1.25 9997 1 1 1 0
1.375 9997 1 1 1 0
1.5 9997 1 1 1 0
1.625 9997 1 1 1 0
1.75 9997 1 1 1 0
1.875 9997 1 1 1 0
2 9997 1 1 1 0
2.125 9996 2 1 1 0
2.25 9996 2 1 1 0
2.375 9995 3 1 1 0
2.5 9995 3 1 1 0
2.625 9995 3 1 1 0
2.75 9995 3 1 1 0
2.875 9995 3 1 1 0
3 9995 1 3 1 0
3.125 9994 2 3 1 0
3.25 9994 2 3 1 0
3.375 9994 2 3 1 0
3.5 9994 2 2 2 0
3.625 9994 2 2 2 0
3.75 9994 2 2 2 0
3.875 9994 1 3 2 0
4 9993 2 3 2 0
4.125 9993 1 4 2 0
4.25 9990 4 4 2 0
4.375 9988 6 4 2 0
4.5 9988 6 4 2 0
4.625 9987 7 4 2 0
4.75 9986 8 4 2 0
4.875 9985 9 4 2 0
5 9985 8 5 2 0
5.125 9983 10 5 2 0
5.25 9982 11 5 2 0
5.375 9982 10 6 2 0
5.5 9982 10 5 3 0
5.625 9981 9 7 3 0
5.75 9978 12 7 3 0
5.875 9972 17 8 3 0
6 9971 15 11 3 0
6.125 9962 24 11 3 0
6.25 9956 29 12 3 0
6.375 9948 32 17 3 0
6.5 9935 43 19 3 0
6.625 9924 50 23 3 0
6.75 9916 56 25 3 0
6.875 9904 66 26 4 0
7 9892 76 27 5 0
7.125 9879 83 32 6 0
7.25 9862 91 41 6 0
7.375 9849 97 46 8 0
7.5 9836 104 50 10 0
7.625 9816 122 50 12 0
7.75 9798 134 56 12 0
7.875 9781 143 63 13 0
8 9770 146 69 15 0
8.125 9747 163 75 15 0
8.25 9739 156 89 16 0
8.375 9724 161 95 20 0
8.5 9708 168 103 21 0
