t S E I R D
0 9998 0 2 0 0
0.125 9992 6 2 0 0
0.25 9986 12 2 0 0
0.375 9976 21 3 0 0
0.5 9972 25 3 0 0
0.625 9969 27 4 0 0
0.75 9962 33 5 0 0
0.875 9952 42 6 0 0
1 9946 48 6 0 0
1.125 9940 53 7 0 0
1.25 9933 58 7 2 0
1.375 9932 56 10 2 0
1.5 9930 54 14 2 0
1.625 9928 54 16 2 0
1.75 9926 52 20 2 0
1.875 9918 57 23 2 0
2 9902 69 27 2 0
2.125 9888 80 29 3 0
2.25 9881 79 36 4 0
2.375 9875 82 39 4 0
2.5 9861 92 42 5 0
2.625 9849 99 45 7 0
2.75 9838 102 52 8 0
2.875 9827 110 53 10 0
3 9808 122 60 10 0
3.125 9796 122 70 12 0
3.25 9790 118 80 12 0
3.375 9779 124 85 12 0
3.5 9761 138 86 15 0
3.625 9745 146 92 17 0
3.75 9725 159 96 20 0
3.875 9705 171 102 22 0
4 9681 185 111 23 0
4.125 9661 191 123 25 0
4.25 9639 201 133 27 0
4.375 9617 209 144 30 0
4.5 9588 224 153 35 0
4.625 9563 233 167 37 0
4.75 9528 257 175 40 0
4.875 9489 279 186 46 0
5 9451 300 201 48 0
5.125 9405 325 217 53 0
5.25 9375 327 240 58 0
5.375 9344 338 258 60 0
5.5 9309 350 278 63 0
5.625 9260 376 294 70 0
5.75 9209 405 306 80 0
5.875 9164 430 322 84 0
6 9116 440 350 94 0
6.125 9074 454 374 98 0
6.25 9031 463 401 105 0
6.375 8966 506 418 110 0
6.5 8907 541 432 120 0
6.625 8839 576 462 122 1
6.75 8778 605 485 131 1
6.875 8704 647 510 138 1
7 8642 677 532 148 1
7.125 8581 707 550 161 1
7.25 8537 717 567 178 1
7.375 8476 724 614 185 1
7.5 8413 730 659 196 2
7.625 8354 736 698 210 2
7.75 8306 740 721 230 3
7.875 8271 736 743 247 3
8 8222 746 775 253 4
8.125 8192 731 805 268 4
8.25 8162 716 838 280 4
8.375 8128 708 857 303 4
8.5 8099 691 889 317 4
8.625 8069 673 919 335 4
8.75 8043 662 935 356 4
8.875 8010 649 957 380 4
9 7979 642 983 392 4
