t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9996 2 2 0 0
0.375 9996 2 2 0 0
0.5 9995 3 2 0 0
0.625 9993 5 2 0 0
0.75 9993 4 3 0 0
0.875 9993 4 3 0 0
1 9993 3 4 0 0
1.125 9993 3 4 0 0
1.25 9992 4 4 0 0
1.375 9992 4 4 0 0
1.5 9992 4 3 1 0
1.625 9992 4 3 1 0
1.75 9992 4 3 1 0
1.875 9992 4 3 1 0
2 9992 4 3 1 0
2.125 9991 4 4 1 0
2.25 9990 5 4 1 0
2.375 9990 5 4 1 0
2.5 9990 5 4 1 0
2.625 9990 5 4 1 0
2.75 9989 6 4 1 0
2.875 9989 5 5 1 0
3 9988 5 6 1 0
3.125 9988 4 7 1 0
3.25 9987 5 7 1 0
3.375 9985 6 8 1 0
3.5 9985 6 8 1 0
3.625 9985 6 8 1 0
3.75 9985 5 9 1 0
3.875 9984 6 8 2 0
4 9980 10 8 2 0
4.125 9978 11 8 3 0
4.25 9977 12 8 3 0
4.375 9976 12 9 3 0
4.5 9975 12 10 3 0
4.625 9973 13 11 3 0
4.75 9972 13 12 3 0
4.875 9971 13 13 3 0
5 9967 15 15 3 0
5.125 9960 21 16 3 0
5.25 9958 19 20 3 0
5.375 9956 18 23 3 0
5.5 9950 20 27 3 0
5.625 9948 21 28 3 0
5.75 9944 24 29 3 0
5.875 9942 24 31 3 0
6 9936 29 32 3 0
6.125 9928 36 32 4 0
6.25 9923 37 36 4 0
6.375 9913 46 36 5 0
6.5 9903 54 35 8 0
6.625 9888 66 37 9 0
6.75 9879 71 40 10 0
6.875 9866 82 42 10 0
7 9857 88 44 11 0
7.125 9842 102 45 11 0
7.25 9831 106 51 12 0
7.375 9817 113 53 17 0
7.5 9809 115 58 18 0
7.625 9799 116 65 20 0
7.75 9790 119 71 20 0
7.875 9772 123 83 22 0
8 9756 134 87 23 0
8.125 9736 148 92 24 0
8.25 9719 153 103 25 0
8.375 9689 175 109 27 0
8.5 9667 187 118 28 0
8.625 9648 193 127 32 0
8.75 9626 203 138 33 0
8.875 9588 233 137 42 0
9 9562 242 150 46 0
9.125 9531 256 164 49 0
9.25 9500 264 183 53 0
9.375 9459 287 198 56 0
9.5 9433 291 214 62 0
9.625 9392 315 220 73 0
9.75 9357 328 238 77 0
9.875 9316 353 249 82 0
10 9283 367 264 86 0
10.125 9238 391 281 90 0
10.25 9202 399 302 96 1
10.375 9148 434 318 99 1
10.5 9105 442 349 103 1
10.625 9036 488 359 116 1
10.75 8983 511 379 125 2
10.875 8925 538 404 131 2
11 8867 567 426 138 2
11.125 8822 573 457 146 2
11.25 8762 599 485 152 2
11.375 8703 622 514 157 4
11.5 8644 645 541 166 4
11.625 8576 675 567 178 4
11.75 8503 707 597 189 4
11.875 8434 740 615 206 5
12 8370 760 645 220 5
12.125 8310 761 689 235 5
12.25 8252 765 737 241 5
12.375 8208 755 779 253 5
12.5 8149 761 812 273 5
12.625 8074 795 836 290 5
12.75 8002 811 875 307 5
12.875 7932 845 890 328 5
13 7874 837 937 347 5
13.125 7803 841 985 366 5
13.25 7728 851 1030 385 6
13.375 7664 853 1073 403 7
13.5 7587 875 1103 428 7
13.625 7514 883 1149 447 7
13.75 7446 891 1191 465 7
13.875 7370 917 1218 488 7
14 7297 935 1253 508 7
14.125 7216 964 1276 536 8
14.25 7166 954 1302 570 8
14.375 7106 956 1330 600 8
14.5 7033 970 1360 629 8
14.625 6959 974 1409 650 8
14.75 6891 987 1441 673 8
14.875 6830 976 1483 703 8
15 6768 971 1515 738 8
15.125 6701 965 1562 764 8
15.25 6622 991 1581 798 8
15.375 6552 993 1620 827 8
15.5 6470 1010 1660 852 8
15.625 6399 1006 1701 886 8
15.75 6327 1008 1737 920 8
15.875 6254 1027 1756 955 8
16 6183 1046 1766 997 8
16.125 6127 1029 1811 1025 8
16.25 6067 1022 1838 1065 8
16.375 6009 1018 1866 1098 9
16.5 5948 1016 1890 1136 10
16.625 5879 1031 1912 1168 10
16.75 5811 1029 1951 1198 11
16.875 5749 1017 1988 1234 12
17 5671 1023 2018 1276 12
17.125 5612 1033 2027 1316 12
17.25 5550 1032 2053 1353 12
17.375 5492 1033 2059 1403 13
17.5 5440 1018 2081 1447 14
17.625 5369 1027 2095 1495 14
17.75 5299 1035 2122 1530 14
17.875 5235 1040 2144 1567 14
18 5156 1060 2157 1613 14
18.125 5092 1045 2189 1659 15
18.25 5043 1027 2219 1695 16
18.375 4985 1021 2237 1740 17
18.5 4929 999 2262 1793 17
18.625 4872 994 2272 1844 18
18.75 4828 964 2299 1891 18
18.875 4771 960 2324 1926 19
19 4727 937 2340 1977 19
19.125 4679 914 2365 2021 21
19.25 4625 912 2384 2058 21
19.375 4572 902 2387 2117 22
19.5 4512 901 2391 2174 22
19.625 4464 883 2408 2223 22
19.75 4418 864 2408 2287 23
19.875 4377 857 2406 2337 23
20 4322 856 2427 2372 23
20.125 4272 839 2439 2427 23
20.25 4227 834 2448 2466 25
20.375 4181 818 2455 2521 25
20.5 4140 819 2436 2580 25
20.625 4095 822 2441 2617 25
20.75 4049 814 2446 2666 25
20.875 4008 810 2432 2725 25
21 3961 803 2441 2768 27
21.125 3921 793 2453 2806 27
21.25 3890 781 2445 2855 29
21.375 3852 782 2429 2907 30
21.5 3818 772 2416 2964 30
21.625 3781 775 2392 3022 30
21.75 3744 766 2379 3081 30
21.875 3705 757 2384 3123 31
22 3668 735 2393 3173 31
22.125 3643 721 2384 3220 32
22.25 3601 718 2368 3280 33
22.375 3559 733 2337 3337 34
22.5 3528 725 2337 3376 34
22.625 3492 714 2338 3421 35
