t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9996 2 2 0 0
0.375 9995 3 2 0 0
0.5 9993 5 2 0 0
0.625 9993 5 2 0 0
0.75 9992 6 2 0 0
0.875 9992 6 2 0 0
1 9990 8 2 0 0
1.125 9989 9 2 0 0
1.25 9988 10 2 0 0
1.375 9987 11 2 0 0
1.5 9987 11 2 0 0
1.625 9985 12 3 0 0
1.75 9985 12 3 0 0
1.875 9984 12 4 0 0
2 9984 12 3 1 0
2.125 9982 13 4 1 0
2.25 9981 14 4 1 0
2.375 9980 13 6 1 0
2.5 9979 13 6 2 0
2.625 9978 9 11 2 0
2.75 9976 10 12 2 0
2.875 9975 11 12 2 0
3 9973 12 13 2 0
3.125 9972 12 14 2 0
3.25 9967 17 13 3 0
3.375 9966 17 13 4 0
3.5 9963 20 12 5 0
3.625 9961 22 12 5 0
3.75 9961 20 14 5 0
3.875 9961 20 14 5 0
4 9961 18 16 5 0
4.125 9961 17 15 7 0
4.25 9959 17 17 7 0
4.375 9957 17 18 8 0
4.5 9955 19 18 8 0
4.625 9954 16 22 8 0
4.75 9942 28 22 8 0
4.875 9936 33 23 8 0
5 9926 41 25 8 0
5.125 9916 50 25 9 0
5.25 9911 52 28 9 0
5.375 9904 55 32 9 0
5.5 9896 61 33 10 0
5.625 9887 64 38 11 0
5.75 9881 67 41 11 0
5.875 9869 72 47 12 0
6 9860 76 52 12 0
6.125 9843 88 55 14 0
6.25 9825 101 55 19 0
6.375 9813 111 56 20 0
6.5 9800 115 65 20 0
6.625 9786 120 73 21 0
6.75 9766 130 82 22 0
6.875 9746 143 89 22 0
7 9724 156 92 28 0
7.125 9689 176 107 28 0
7.25 9661 190 119 30 0
7.375 9638 202 128 32 0
7.5 9612 210 141 37 0
7.625 9580 228 153 39 0
7.75 9544 247 168 41 0
7.875 9490 291 176 42 1
8 9447 315 193 44 1
8.125 9394 347 210 48 1
8.25 9343 384 217 55 1
8.375 9302 404 233 60 1
8.5 9258 428 250 63 1
8.625 9206 456 268 68 2
8.75 9170 474 281 73 2
8.875 9117 492 311 78 2
9 9055 529 331 82 3
9.125 9003 551 353 90 3
9.25 8965 554 380 98 3
9.375 8913 569 411 104 3
9.5 8858 578 448 112 4
9.625 8789 612 475 119 5
9.75 8725 637 510 123 5
9.875 8659 659 544 133 5
10 8578 702 574 141 5
10.125 8503 735 605 151 6
10.25 8430 765 638 161 6
10.375 8347 803 672 172 6
10.5 8253 852 704 185 6
10.625 8171 868 753 202 6
10.75 8090 887 796 220 7
10.875 8003 914 844 232 7
11 7908 941 894 250 7
11.125 7803 991 929 269 8
11.25 7713 1014 976 289 8
11.375 7602 1068 1013 309 8
11.5 7501 1094 1070 327 8
11.625 7408 1131 1099 354 8
11.75 7299 1167 1146 380 8
11.875 7189 1211 1190 402 8
12 7080 1237 1253 422 8
12.125 6970 1261 1308 453 8
12.25 6860 1291 1350 491 8
12.375 6739 1346 1389 518 8
12.5 6624 1370 1457 541 8
12.625 6533 1387 1500 572 8
12.75 6423 1421 1539 609 8
12.875 6310 1460 1583 637 10
13 6187 1497 1639 667 10
13.125 6066 1514 1716 694 10
13.25 5946 1531 1786 727 10
13.375 5822 1546 1864 758 10
13.5 5707 1575 1916 792 10
13.625 5584 1596 1985 825 10
13.75 5465 1612 2049 863 11
13.875 5355 1625 2097 911 12
14 5239 1653 2151 944 13
14.125 5115 1695 2192 985 13
14.25 5009 1707 2239 1032 13
14.375 4876 1716 2327 1068 13
14.5 4749 1712 2414 1111 14
14.625 4624 1732 2475 1155 14
14.75 4502 1745 2537 1202 14
14.875 4411 1717 2600 1258 14
15 4292 1741 2634 1319 14
15.125 4169 1769 2666 1382 14
15.25 4068 1741 2735 1442 14
15.375 3967 1722 2803 1493 15
15.5 3858 1720 2857 1548 17
15.625 3744 1705 2928 1605 18
15.75 3651 1702 2971 1657 19
15.875 3542 1723 3006 1710 19
16 3458 1703 3048 1771 20
16.125 3383 1666 3085 1846 20
16.25 3306 1636 3143 1895 20
16.375 3224 1639 3163 1953 21
16.5 3149 1622 3192 2015 22
16.625 3059 1617 3219 2083 22
16.75 2976 1607 3251 2141 25
16.875 2898 1585 3281 2210 26
17 2827 1549 3321 2275 28
17.125 2757 1535 3333 2347 28
17.25 2682 1509 3370 2409 30
17.375 2615 1468 3406 2481 30
17.5 2557 1449 3404 2560 30
17.625 2495 1407 3438 2630 30
17.75 2444 1376 3449 2700 31
17.875 2378 1364 3457 2768 33
18 2310 1349 3467 2841 33
18.125 2237 1336 3491 2902 34
18.25 2182 1309 3487 2988 34
18.375 2122 1301 3484 3058 35
18.5 2057 1284 3481 3142 36
18.625 2003 1249 3511 3201 36
18.75 1970 1214 3507 3273 36
18.875 1919 1196 3511 3338 36
19 1879 1156 3538 3391 36
19.125 1844 1120 3529 3470 37
19.25 1800 1098 3517 3545 40
19.375 1751 1070 3516 3622 41
19.5 1713 1041 3518 3686 42
19.625 1679 1008 3515 3756 42
19.75 1638 982 3510 3828 42
19.875 1603 964 3485 3906 42
20 1560 942 3476 3979 43
20.125 1525 906 3462 4064 43
20.25 1496 900 3415 4145 44
20.375 1468 877 3397 4214 44
20.5 1440 860 3369 4286 45
20.625 1408 842 3340 4364 46
20.75 1367 822 3344 4421 46
20.875 1334 812 3321 4487 46
21 1304 801 3297 4552 46
21.125 1275 758 3314 4607 46
21.25 1257 738 3294 4664 47
21.375 1236 713 3284 4720 47
21.5 1206 706 3253 4788 47
21.625 1192 674 3224 4863 47
21.75 1162 658 3192 4941 47
21.875 1146 632 3162 5012 48
22 1130 607 3120 5094 49
22.125 1112 598 3092 5149 49
