t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9997 1 1 1 0
0.375 9997 1 1 1 0
0.5 9997 1 1 1 0
0.625 9997 1 1 1 0
0.75 9997 1 1 1 0
0.875 9997 1 1 1 0
1 9997 1 1 1 0
1.125 9997 1 1 1 0
1.25 9997 1 1 1 0
1.375 9997 1 1 1 0
1.5 9997 1 1 1 0
1.625 9996 2 1 1 0
1.75 9996 2 1 1 0
1.875 9996 2 1 1 0
2 9996 2 1 1 0
2.125 9996 2 1 1 0
2.25 9996 2 1 1 0
2.375 9996 1 2 1 0
2.5 9995 2 2 1 0
2.625 9995 1 3 1 0
2.75 9995 1 3 1 0
2.875 9995 1 3 1 0
3 9995 1 3 1 0
3.125 9995 1 3 1 0
3.25 9995 1 3 1 0
3.375 9994 2 3 1 0
3.5 9994 2 3 1 0
3.625 9993 3 2 2 0
3.75 9993 3 2 2 0
3.875 9993 3 2 2 0
4 9993 3 2 2 0
4.125 9993 3 2 2 0
4.25 9993 3 2 2 0
4.375 9993 3 2 2 0
4.5 9993 3 2 2 0
4.625 9992 4 2 2 0
4.75 9992 3 3 2 0
4.875 9992 3 3 2 0
5 9992 2 4 2 0
5.125 9992 2 4 2 0
5.25 9991 3 4 2 0
5.375 9991 3 4 2 0
5.5 9991 3 4 2 0
5.625 9988 6 3 3 0
5.75 9987 7 3 3 0
5.875 9986 7 4 3 0
6 9984 8 5 3 0
6.125 9982 10 5 3 0
6.25 9980 12 5 3 0
6.375 9979 13 5 3 0
6.5 9977 15 5 3 0
6.625 9975 14 8 3 0
6.75 9974 14 9 3 0
6.875 9970 17 9 4 0
7 9964 23 9 4 0
7.125 9963 22 11 4 0
7.25 9961 21 14 4 0
7.375 9951 31 14 4 0
7.5 9946 35 15 4 0
7.625 9936 45 15 4 0
7.75 9927 50 18 5 0
7.875 9916 60 19 5 0
8 9904 71 19 6 0
8.125 9891 82 20 7 0
8.25 9883 85 25 7 0
8.375 9869 94 30 7 0
8.5 9859 99 34 8 0
8.625 9843 112 35 10 0
8.75 9835 111 44 10 0
8.875 9828 115 47 10 0
9 9812 123 53 12 0
9.125 9798 129 60 13 0
9.25 9770 150 66 14 0
9.375 9752 161 69 18 0
9.5 9738 162 80 20 0
9.625 9713 177 88 22 0
9.75 9688 193 95 24 0
9.875 9660 205 109 26 0
10 9631 222 118 29 0
10.125 9614 227 127 32 0
10.25 9575 247 145 33 0
10.375 9533 273 155 39 0
10.5 9495 303 157 45 0
10.625 9453 321 177 49 0
10.75 9406 350 194 50 0
10.875 9362 378 205 55 0
11 9314 411 215 60 0
11.125 9263 443 231 63 0
11.25 9210 459 265 66 0
11.375 9155 480 292 73 0
11.5 9086 518 319 77 0
11.625 9026 540 346 88 0
11.75 8961 568 376 95 0
11.875 8890 604 403 103 0
12 8810 646 427 117 0
12.125 8718 711 448 123 0
12.25 8632 745 492 131 0
12.375 8541 790 522 147 0
12.5 8454 834 556 156 0
12.625 8381 863 589 166 1
12.75 8377 820 621 181 1
12.875 8362 793 649 195 1
13 8349 757 680 213 1
13.125 8337 728 699 234 2
13.25 8333 691 729 245 2
13.375 8327 641 767 263 2
13.5 8319 614 791 274 2
13.625 8308 592 808 290 2
13.75 8301 564 827 306 2
13.875 8292 534 843 329 2
14 8287 510 856 345 2
14.125 8284 482 858 373 3
14.25 8279 453 882 383 3
14.375 8276 435 887 399 3
14.5 8270 416 888 423 3
14.625 8264 393 902 438 3
14.75 8261 370 907 459 3
14.875 8256 348 914 479 3
15 8250 337 916 494 3
15.125 8244 318 924 511 3
15.25 8239 305 917 535 4
15.375 8237 295 908 556 4
15.5 8231 283 913 569 4
15.625 8229 265 921 581 4
15.75 8225 252 920 599 4
15.875 8221 241 915 619 4
16 8214 235 904 643 4
16.125 8211 226 891 667 5
16.25 8208 218 888 680 6
16.375 8205 204 886 699 6
16.5 8204 189 878 723 6
16.625 8203 183 865 742 7
16.75 8202 172 851 768 7
16.875 8198 165 839 791 7
17 8196 159 835 803 7
17.125 8195 146 833 819 7
17.25 8193 138 826 835 8
17.375 8191 128 819 854 8
17.5 8191 122 809 870 8
17.625 8191 110 798 893 8
17.75 8191 100 787 914 8
17.875 8189 93 781 929 8
18 8188 89 774 941 8
18.125 8185 89 759 957 10
18.25 8184 86 747 973 10
18.375 8181 80 739 990 10
18.5 8179 72 735 1004 10
18.625 8179 69 724 1018 10
18.75 8177 63 722 1028 10
18.875 8175 58 719 1038 10
19 8175 55 711 1049 10
19.125 8171 57 699 1063 10
19.25 8169 55 687 1079 10
19.375 8169 51 679 1091 10
19.5 8169 47 673 1101 10
19.625 8169 43 662 1116 10
19.75 8169 40 655 1126 10
19.875 8169 36 643 1142 10
20 8168 35 635 1152 10
20.125 8167 34 621 1167 11
20.25 8166 33 608 1182 11
20.375 8166 31 599 1193 11
20.5 8165 31 588 1205 11
20.625 8165 31 581 1212 11
20.75 8165 30 574 1220 11
20.875 8164 28 567 1230 11
21 8162 30 557 1240 11
21.125 8162 29 548 1250 11
21.25 8162 28 540 1259 11
21.375 8162 27 532 1268 11
21.5 8161 27 519 1282 11
21.625 8161 26 510 1292 11
21.75 8161 25 505 1298 11
21.875 8161 24 491 1312 12
22 8161 23 484 1320 12
22.125 8161 20 477 1330 12
22.25 8161 17 475 1335 12
22.375 8161 16 466 1344 13
22.5 8161 14 459 1353 13
22.625 8161 13 454 1359 13
22.75 8160 12 445 1370 13
22.875 8160 12 439 1375 14
23 8158 13 432 1383 14
23.125 8158 11 423 1394 14
23.25 8157 12 411 1406 14
23.375 8157 11 407 1411 14
23.5 8156 12 400 1418 14
