t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9997 1 2 0 0
1.125 9997 1 2 0 0
1.25 9996 2 2 0 0
1.375 9996 2 2 0 0
1.5 9996 2 2 0 0
1.625 9996 2 2 0 0
1.75 9996 2 2 0 0
1.875 9996 2 2 0 0
2 9994 3 3 0 0
2.125 9994 3 3 0 0
2.25 9994 3 3 0 0
2.375 9994 2 4 0 0
2.5 9993 3 4 0 0
2.625 9992 3 5 0 0
2.75 9992 3 5 0 0
2.875 9991 4 5 0 0
3 9990 5 5 0 0
3.125 9989 6 5 0 0
3.25 9989 5 6 0 0
3.375 9988 4 8 0 0
3.5 9983 8 9 0 0
3.625 9982 9 9 0 0
3.75 9981 9 10 0 0
3.875 9978 10 12 0 0
4 9975 13 12 0 0
4.125 9970 16 13 1 0
4.25 9966 20 13 1 0
4.375 9959 26 14 1 0
4.5 9955 26 18 1 0
4.625 9949 31 19 1 0
4.75 9943 35 21 1 0
4.875 9937 41 20 2 0
5 9931 43 24 2 0
5.125 9927 43 27 3 0
5.25 9922 46 28 4 0
5.375 9918 47 31 4 0
5.5 9913 47 35 5 0
5.625 9903 52 40 5 0
5.75 9895 57 43 5 0
5.875 9886 62 46 6 0
6 9875 69 50 6 0
6.125 9859 80 54 7 0
6.25 9837 93 62 8 0
6.375 9818 106 68 8 0
6.5 9803 115 72 10 0
6.625 9784 128 77 11 0
6.75 9765 138 84 13 0
6.875 9746 151 90 13 0
7 9728 163 92 17 0
7.125 9707 168 107 18 0
7.25 9681 179 119 21 0
7.375 9658 192 126 24 0
7.5 9626 216 129 29 0
7.625 9589 243 137 30 1
7.75 9579 236 151 33 1
7.875 9568 227 169 35 1
8 9565 213 185 36 1
8.125 9550 219 189 41 1
8.25 9538 215 198 48 1
8.375 9523 216 209 51 1
8.5 9510 211 222 56 1
