t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9996 2 2 0 0
1 9996 2 2 0 0
1.125 9996 2 2 0 0
1.25 9996 2 2 0 0
1.375 9996 2 2 0 0
1.5 9996 2 2 0 0
1.625 9996 2 2 0 0
1.75 9995 3 2 0 0
1.875 9995 2 3 0 0
2 9995 2 3 0 0
2.125 9995 2 3 0 0
2.25 9994 3 3 0 0
2.375 9994 2 4 0 0
2.5 9992 4 4 0 0
2.625 9990 6 4 0 0
2.75 9989 7 4 0 0
2.875 9989 7 4 0 0
3 9989 5 5 1 0
3.125 9988 5 6 1 0
3.25 9985 8 6 1 0
3.375 9983 10 6 1 0
3.5 9982 11 6 1 0
3.625 9981 12 6 1 0
3.75 9980 9 10 1 0
3.875 9979 9 11 1 0
4 9977 11 10 2 0
4.125 9972 15 10 3 0
4.25 9969 18 10 3 0
4.375 9969 18 10 3 0
4.5 9969 17 10 4 0
4.625 9966 19 11 4 0
4.75 9965 20 11 4 0
4.875 9965 19 12 4 0
5 9963 20 13 4 0
5.125 9963 19 13 5 0
5.25 9960 20 15 5 0
5.375 9958 22 14 6 0
5.5 9957 22 15 6 0
5.625 9956 23 15 6 0
5.75 9955 23 16 6 0
5.875 9953 24 17 6 0
6 9949 26 19 6 0
6.125 9947 26 20 7 0
6.25 9945 27 21 7 0
6.375 9944 27 22 7 0
6.5 9937 34 21 8 0
6.625 9933 38 21 8 0
6.75 9926 45 21 8 0
6.875 9920 49 21 10 0
7 9914 48 28 10 0
7.125 9907 50 32 11 0
7.25 9892 61 36 11 0
7.375 9875 73 41 11 0
7.5 9868 75 45 12 0
7.625 9848 89 51 12 0
7.75 9836 94 58 12 0
7.875 9822 104 61 13 0
8 9806 110 71 13 0
8.125 9792 114 80 14 0
8.25 9777 126 82 15 0
8.375 9764 134 87 15 0
8.5 9746 142 96 16 0
