t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9996 2 2 0 0
1.125 9996 2 2 0 0
1.25 9996 2 2 0 0
1.375 9996 2 2 0 0
1.5 9996 2 2 0 0
1.625 9996 2 2 0 0
1.75 9996 2 2 0 0
1.875 9996 2 2 0 0
2 9996 2 2 0 0
2.125 9996 2 2 0 0
2.25 9996 2 2 0 0
2.375 9995 3 2 0 0
2.5 9995 3 2 0 0
2.625 9995 2 3 0 0
2.75 9995 2 3 0 0
2.875 9994 3 3 0 0
3 9994 2 3 1 0
3.125 9993 3 3 1 0
3.25 9992 4 3 1 0
3.375 9992 4 3 1 0
3.5 9992 3 4 1 0
3.625 9991 4 4 1 0
3.75 9989 6 4 1 0
3.875 9989 5 4 2 0
4 9988 6 4 2 0
4.125 9987 7 4 2 0
4.25 9986 8 4 2 0
4.375 9985 8 5 2 0
4.5 9984 9 5 2 0
4.625 9982 11 5 2 0
4.75 9982 11 5 2 0
4.875 9981 12 5 2 0
5 9981 11 6 2 0
5.125 9980 11 7 2 0
5.25 9979 12 7 2 0
5.375 9978 11 9 2 0
5.5 9977 11 10 2 0
5.625 9976 12 10 2 0
5.75 9974 13 11 2 0
5.875 9972 15 10 3 0
6 9971 15 11 3 0
6.125 9969 16 11 4 0
6.25 9968 17 11 4 0
6.375 9967 18 10 5 0
6.5 9966 17 12 5 0
6.625 9966 16 13 5 0
6.75 9965 17 13 5 0
6.875 9961 21 13 5 0
7 9958 21 16 5 0
7.125 9955 23 17 5 0
7.25 9951 24 19 6 0
7.375 9946 27 21 6 0
7.5 9940 32 20 8 0
7.625 9937 33 22 8 0
7.75 9930 38 24 8 0
7.875 9926 38 27 9 0
8 9921 41 29 9 0
8.125 9917 42 31 10 0
8.25 9914 42 33 11 0
8.375 9906 49 34 11 0
8.5 9900 49 39 12 0
