t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 1 1 0
0.375 9997 1 1 1 0
0.5 9997 1 0 2 0
0.625 9997 1 0 2 0
0.75 9997 1 0 2 0
0.875 9997 1 0 2 0
1 9997 0 1 2 0
1.125 9997 0 1 2 0
1.25 9997 0 1 2 0
1.375 9997 0 1 2 0
1.5 9997 0 1 2 0
1.625 9997 0 1 2 0
1.75 9997 0 1 2 0
1.875 9996 1 1 2 0
2 9995 2 1 2 0
2.125 9995 2 1 2 0
2.25 9995 2 1 2 0
2.375 9995 2 1 2 0
2.5 9995 2 1 2 0
2.625 9995 2 1 2 0
2.75 9994 3 1 2 0
2.875 9994 2 2 2 0
3 9993 3 2 2 0
3.125 9993 3 1 3 0
3.25 9992 3 2 3 0
3.375 9992 2 3 3 0
3.5 9991 2 4 3 0
3.625 9990 3 4 3 0
3.75 9989 3 5 3 0
3.875 9988 3 6 3 0
4 9987 3 7 3 0
4.125 9985 5 7 3 0
4.25 9984 5 7 4 0
4.375 9984 5 7 4 0
4.5 9983 6 7 4 0
4.625 9981 7 8 4 0
4.75 9981 6 9 4 0
4.875 9978 8 10 4 0
5 9975 11 9 5 0
5.125 9973 12 8 7 0
5.25 9971 13 8 8 0
5.375 9969 14 8 9 0
5.5 9968 13 10 9 0
5.625 9965 16 10 9 0
5.75 9963 17 11 9 0
5.875 9963 17 11 9 0
6 9961 17 13 9 0
6.125 9960 17 14 9 0
6.25 9960 15 16 9 0
6.375 9952 22 16 10 0
6.5 9948 24 18 10 0
6.625 9945 27 17 11 0
6.75 9934 35 20 11 0
6.875 9930 36 22 12 0
7 9921 44 23 12 0
7.125 9913 48 27 12 0
7.25 9900 59 28 13 0
7.375 9888 69 29 14 0
7.5 9873 80 33 14 0
7.625 9854 95 36 15 0
7.75 9830 111 43 16 0
7.875 9809 121 54 16 0
8 9781 140 62 17 0
8.125 9762 155 65 18 0
8.25 9738 173 68 21 0
8.375 9715 188 75 22 0
8.5 9687 203 87 23 0
