t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9996 2 2 0 0
1 9996 2 2 0 0
1.125 9995 3 2 0 0
1.25 9995 3 2 0 0
1.375 9995 3 2 0 0
1.5 9995 3 2 0 0
1.625 9995 2 3 0 0
1.75 9995 2 3 0 0
1.875 9995 2 3 0 0
2 9995 2 3 0 0
2.125 9995 2 3 0 0
2.25 9995 2 3 0 0
2.375 9994 3 3 0 0
2.5 9994 3 3 0 0
2.625 9994 1 5 0 0
2.75 9993 2 5 0 0
2.875 9993 2 5 0 0
3 9993 1 6 0 0
3.125 9991 3 6 0 0
3.25 9991 3 6 0 0
3.375 9990 3 7 0 0
3.5 9989 4 7 0 0
3.625 9989 4 7 0 0
3.75 9987 5 8 0 0
3.875 9987 5 8 0 0
4 9986 6 8 0 0
4.125 9985 7 8 0 0
4.25 9982 10 8 0 0
4.375 9980 9 11 0 0
4.5 9978 11 11 0 0
4.625 9976 12 12 0 0
4.75 9967 21 11 1 0
4.875 9961 26 11 2 0
5 9956 31 11 2 0
5.125 9950 35 13 2 0
5.25 9940 43 15 2 0
5.375 9930 52 16 2 0
5.5 9920 56 22 2 0
5.625 9913 57 27 3 0
5.75 9906 59 32 3 0
5.875 9895 69 32 4 0
6 9884 76 34 6 0
6.125 9879 75 40 6 0
6.25 9863 89 42 6 0
6.375 9857 85 51 7 0
6.5 9847 92 54 7 0
6.625 9837 97 57 9 0
6.75 9828 99 64 9 0
6.875 9819 101 68 12 0
7 9799 113 76 12 0
7.125 9767 139 78 16 0
7.25 9751 147 85 17 0
7.375 9729 158 95 18 0
7.5 9707 172 100 21 0
7.625 9691 176 112 21 0
7.75 9657 202 118 23 0
7.875 9634 221 120 25 0
8 9607 236 129 28 0
8.125 9583 242 145 30 0
8.25 9552 265 149 34 0
8.375 9523 277 159 40 1
8.5 9514 270 169 46 1
