t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9996 2 2 0 0
1 9996 2 2 0 0
1.125 9996 2 2 0 0
1.25 9995 3 2 0 0
1.375 9995 3 2 0 0
1.5 9994 3 3 0 0
1.625 9994 3 3 0 0
1.75 9993 4 3 0 0
1.875 9992 5 3 0 0
2 9992 4 4 0 0
2.125 9992 4 3 1 0
2.25 9992 4 3 1 0
2.375 9992 4 2 2 0
2.5 9991 5 2 2 0
2.625 9991 5 2 2 0
2.75 9990 6 2 2 0
2.875 9990 5 3 2 0
3 9989 6 3 2 0
3.125 9989 5 4 2 0
3.25 9984 9 5 2 0
3.375 9977 16 5 2 0
3.5 9973 20 5 2 0
3.625 9968 24 6 2 0
3.75 9966 25 7 2 0
3.875 9956 33 9 2 0
4 9951 37 10 2 0
4.125 9945 41 11 3 0
4.25 9938 47 12 3 0
4.375 9935 49 12 4 0
4.5 9926 53 17 4 0
4.625 9907 71 17 5 0
4.75 9895 78 21 6 0
4.875 9886 80 28 6 0
5 9871 92 31 6 0
5.125 9857 99 38 6 0
5.25 9827 125 42 6 0
5.375 9807 139 45 9 0
5.5 9789 147 55 9 0
5.625 9774 153 64 9 0
5.75 9755 163 71 11 0
5.875 9737 174 74 15 0
6 9713 188 83 16 0
6.125 9693 194 96 17 0
6.25 9663 209 107 21 0
6.375 9639 223 114 24 0
6.5 9616 230 128 26 0
6.625 9587 247 139 27 0
6.75 9560 263 147 30 0
6.875 9527 279 156 38 0
7 9499 288 172 41 0
7.125 9464 303 188 45 0
7.25 9427 317 202 54 0
7.375 9384 343 215 58 0
7.5 9354 351 231 64 0
7.625 9310 378 243 68 1
7.75 9288 370 269 72 1
7.875 9278 362 283 76 1
8 9259 355 299 86 1
8.125 9239 360 309 91 1
8.25 9226 353 327 93 1
8.375 9204 353 343 99 1
8.5 9177 357 357 108 1
