t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 1 1 0
0.875 9998 0 1 1 0
1 9998 0 1 1 0
1.125 9998 0 1 1 0
1.25 9998 0 1 1 0
1.375 9998 0 1 1 0
1.5 9998 0 1 1 0
1.625 9998 0 1 1 0
1.75 9998 0 1 1 0
1.875 9998 0 1 1 0
2 9998 0 1 1 0
2.125 9998 0 1 1 0
2.25 9998 0 1 1 0
2.375 9998 0 1 1 0
2.5 9998 0 1 1 0
2.625 9998 0 1 1 0
2.75 9998 0 1 1 0
2.875 9997 1 1 1 0
3 9997 1 1 1 0
3.125 9997 1 1 1 0
3.25 9997 1 1 1 0
3.375 9997 1 1 1 0
3.5 9997 1 1 1 0
3.625 9997 1 1 1 0
3.75 9997 0 2 1 0
3.875 9997 0 2 1 0
4 9997 0 2 1 0
4.125 9997 0 2 1 0
4.25 9994 3 2 1 0
4.375 9994 3 2 1 0
4.5 9994 3 2 1 0
4.625 9993 4 2 1 0
4.75 9993 4 2 1 0
4.875 9993 4 2 1 0
5 9993 4 2 1 0
5.125 9993 4 2 1 0
5.25 9991 5 3 1 0
5.375 9991 5 3 1 0
5.5 9991 5 3 1 0
5.625 9990 5 4 1 0
5.75 9990 5 4 1 0
5.875 9990 5 4 1 0
6 9989 6 4 1 0
6.125 9989 6 4 1 0
6.25 9988 7 4 1 0
6.375 9988 7 4 1 0
6.5 9988 6 5 1 0
6.625 9987 6 6 1 0
6.75 9987 6 6 1 0
6.875 9986 7 6 1 0
7 9985 7 7 1 0
7.125 9981 11 7 1 0
7.25 9980 10 8 2 0
7.375 9976 10 12 2 0
7.5 9971 14 12 3 0
7.625 9961 23 13 3 0
7.75 9954 28 15 3 0
7.875 9950 32 15 3 0
8 9947 33 17 3 0
8.125 9936 41 20 3 0
8.25 9925 49 23 3 0
8.375 9914 58 25 3 0
8.5 9909 55 33 3 0
