t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9996 2 2 0 0
0.625 9996 2 2 0 0
0.75 9996 1 3 0 0
0.875 9996 1 3 0 0
1 9996 1 3 0 0
1.125 9996 1 3 0 0
1.25 9996 1 3 0 0
1.375 9996 1 3 0 0
1.5 9996 0 3 1 0
1.625 9995 1 3 1 0
1.75 9993 3 3 1 0
1.875 9992 4 3 1 0
2 9992 4 3 1 0
2.125 9991 5 3 1 0
2.25 9991 5 3 1 0
2.375 9990 5 4 1 0
2.5 9990 5 4 1 0
2.625 9989 6 3 2 0
2.75 9989 6 3 2 0
2.875 9986 9 3 2 0
3 9985 9 4 2 0
3.125 9984 8 6 2 0
3.25 9983 8 7 2 0
3.375 9982 9 7 2 0
3.5 9979 10 9 2 0
3.625 9977 12 9 2 0
3.75 9972 17 8 3 0
3.875 9970 19 8 3 0
4 9969 19 9 3 0
4.125 9967 19 11 3 0
4.25 9966 20 11 3 0
4.375 9964 21 12 3 0
4.5 9964 21 12 3 0
4.625 9963 21 13 3 0
4.75 9961 20 16 3 0
4.875 9960 20 17 3 0
5 9960 19 18 3 0
5.125 9957 20 20 3 0
5.25 9955 21 19 5 0
5.375 9949 23 23 5 0
5.5 9946 25 24 5 0
5.625 9941 29 23 7 0
5.75 9940 30 23 7 0
5.875 9938 30 24 8 0
6 9934 34 24 8 0
6.125 9933 35 23 9 0
6.25 9932 31 28 9 0
6.375 9929 32 28 11 0
6.5 9927 32 30 11 0
6.625 9923 32 33 12 0
6.75 9919 36 33 12 0
6.875 9919 34 35 12 0
7 9917 34 37 12 0
7.125 9912 38 38 12 0
7.25 9907 39 40 14 0
7.375 9901 45 38 16 0
7.5 9896 48 40 16 0
7.625 9891 50 42 17 0
7.75 9886 53 44 17 0
7.875 9879 56 48 17 0
8 9864 71 47 18 0
8.125 9855 78 49 18 0
8.25 9839 90 50 20 1
8.375 9823 100 55 21 1
8.5 9815 103 60 21 1
