t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9996 2 2 0 0
0.375 9995 3 2 0 0
0.5 9995 3 2 0 0
0.625 9995 3 2 0 0
0.75 9995 3 2 0 0
0.875 9995 3 2 0 0
1 9995 3 2 0 0
1.125 9995 3 2 0 0
1.25 9995 3 2 0 0
1.375 9995 3 2 0 0
1.5 9995 3 2 0 0
1.625 9995 2 3 0 0
1.75 9995 2 3 0 0
1.875 9995 2 3 0 0
2 9995 1 4 0 0
2.125 9994 2 4 0 0
2.25 9994 2 4 0 0
2.375 9994 1 5 0 0
2.5 9994 1 5 0 0
2.625 9994 1 5 0 0
2.75 9994 1 5 0 0
2.875 9994 0 6 0 0
3 9993 1 6 0 0
3.125 9991 3 6 0 0
3.25 9991 3 6 0 0
3.375 9991 3 6 0 0
3.5 9990 4 6 0 0
3.625 9989 5 6 0 0
3.75 9988 6 6 0 0
3.875 9988 5 7 0 0
4 9987 6 7 0 0
4.125 9985 8 7 0 0
4.25 9983 10 7 0 0
4.375 9982 10 8 0 0
4.5 9980 12 8 0 0
4.625 9979 13 8 0 0
4.75 9979 13 8 0 0
4.875 9979 13 8 0 0
5 9979 13 8 0 0
5.125 9978 12 10 0 0
5.25 9978 11 11 0 0
5.375 9978 10 12 0 0
5.5 9977 9 14 0 0
5.625 9973 12 14 1 0
5.75 9972 12 14 2 0
5.875 9970 14 13 3 0
6 9969 15 13 3 0
6.125 9967 16 14 3 0
6.25 9967 14 16 3 0
6.375 9967 13 17 3 0
6.5 9967 12 18 3 0
6.625 9966 13 18 3 0
6.75 9966 13 18 3 0
6.875 9963 16 18 3 0
7 9962 16 19 3 0
7.125 9962 16 19 3 0
7.25 9959 19 19 3 0
7.375 9959 17 20 4 0
7.5 9949 24 23 4 0
7.625 9944 27 25 4 0
7.75 9939 29 27 5 0
7.875 9930 36 27 7 0
8 9922 42 29 7 0
8.125 9915 47 31 7 0
8.25 9907 53 33 7 0
8.375 9895 64 34 7 0
8.5 9884 74 34 8 0
