t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9997 1 2 0 0
0.375 9997 0 3 0 0
0.5 9996 1 3 0 0
0.625 9996 1 3 0 0
0.75 9996 1 3 0 0
0.875 9996 1 3 0 0
1 9996 0 4 0 0
1.125 9996 0 3 1 0
1.25 9995 1 3 1 0
1.375 9995 1 3 1 0
1.5 9995 1 3 1 0
1.625 9994 2 2 2 0
1.75 9994 2 2 2 0
1.875 9993 3 2 2 0
2 9993 3 2 2 0
2.125 9993 3 2 2 0
2.25 9993 3 2 2 0
2.375 9993 3 2 2 0
2.5 9993 3 2 2 0
2.625 9993 3 2 2 0
2.75 9993 3 2 2 0
2.875 9993 3 2 2 0
3 9993 3 2 2 0
3.125 9993 3 1 3 0
3.25 9993 3 1 3 0
3.375 9993 3 1 3 0
3.5 9993 2 2 3 0
3.625 9993 2 2 3 0
3.75 9993 2 1 4 0
3.875 9993 2 1 4 0
4 9993 2 1 4 0
4.125 9993 2 1 4 0
4.25 9993 2 1 4 0
4.375 9993 2 1 4 0
4.5 9992 3 1 4 0
4.625 9992 2 1 5 0
4.75 9992 2 1 5 0
4.875 9991 3 1 5 0
5 9989 4 2 5 0
5.125 9989 3 3 5 0
5.25 9989 3 3 5 0
5.375 9989 3 3 5 0
5.5 9988 4 3 5 0
5.625 9988 4 3 5 0
5.75 9988 4 2 6 0
5.875 9988 4 2 6 0
6 9987 5 1 7 0
6.125 9987 5 1 7 0
6.25 9987 5 1 7 0
6.375 9987 5 1 7 0
6.5 9987 5 1 7 0
6.625 9987 5 1 7 0
6.75 9987 5 0 8 0
6.875 9987 5 0 8 0
7 9987 5 0 8 0
7.125 9987 5 0 8 0
7.25 9987 4 1 8 0
7.375 9986 5 1 8 0
7.5 9986 5 1 8 0
7.625 9986 5 1 8 0
7.75 9986 4 2 8 0
7.875 9986 3 3 8 0
8 9984 5 3 8 0
8.125 9984 5 3 8 0
8.25 9983 6 3 8 0
8.375 9981 8 3 8 0
8.5 9981 6 5 8 0
8.625 9981 6 5 8 0
8.75 9980 7 5 8 0
8.875 9978 9 5 8 0
9 9978 9 4 9 0
9.125 9978 8 5 9 0
9.25 9978 8 5 9 0
9.375 9977 9 5 9 0
9.5 9977 8 6 9 0
9.625 9977 8 5 10 0
9.75 9976 9 5 10 0
9.875 9974 9 7 10 0
10 9972 9 9 10 0
10.125 9971 10 9 10 0
10.25 9970 11 9 10 0
10.375 9970 11 9 10 0
10.5 9969 10 11 10 0
10.625 9966 13 11 10 0
10.75 9964 14 12 10 0
10.875 9964 13 13 10 0
11 9960 16 14 10 0
11.125 9957 18 15 10 0
11.25 9954 21 14 11 0
11.375 9952 21 15 12 0
11.5 9947 23 18 12 0
11.625 9946 23 19 12 0
11.75 9945 22 21 12 0
11.875 9939 26 23 12 0
12 9938 26 24 12 0
12.125 9936 27 24 13 0
12.25 9930 32 25 13 0
12.375 9927 33 26 14 0
12.5 9926 31 29 14 0
12.625 9921 33 30 16 0
12.75 9919 34 31 16 0
12.875 9915 34 35 16 0
13 9910 37 37 16 0
13.125 9907 38 39 16 0
13.25 9899 46 37 18 0
13.375 9889 51 42 18 0
13.5 9878 61 41 20 0
13.625 9872 61 47 20 0
13.75 9866 66 46 22 0
13.875 9856 73 45 26 0
14 9846 79 49 26 0
14.125 9841 82 50 27 0
14.25 9832 83 56 29 0
14.375 9821 87 62 30 0
14.5 9807 95 68 30 0
14.625 9794 101 74 31 0
14.75 9772 113 81 34 0
14.875 9738 140 87 35 0
15 9716 155 93 36 0
15.125 9701 162 99 38 0
15.25 9671 185 104 40 0
15.375 9646 201 110 43 0
15.5 9620 218 118 44 0
15.625 9584 244 127 45 0
15.75 9554 258 142 46 0
15.875 9517 278 157 48 0
16 9478 301 170 51 0
16.125 9440 318 186 56 0
16.25 9400 343 200 57 0
16.375 9338 387 216 59 0
16.5 9288 412 236 63 1
16.625 9279 398 256 66 1
16.75 9272 384 275 68 1
16.875 9265 370 288 76 1
17 9257 356 305 81 1
17.125 9252 337 323 87 1
17.25 9242 324 335 98 1
17.375 9231 310 349 109 1
17.5 9224 299 357 119 1
17.625 9219 276 373 131 1
17.75 9208 273 379 139 1
17.875 9202 270 377 150 1
18 9195 251 394 159 1
18.125 9184 250 401 164 1
18.25 9181 239 407 172 1
18.375 9179 223 411 186 1
18.5 9170 214 418 197 1
18.625 9165 214 418 202 1
18.75 9154 210 426 209 1
18.875 9147 203 434 215 1
19 9135 202 434 228 1
19.125 9127 198 437 237 1
19.25 9115 203 435 246 1
19.375 9102 208 443 246 1
19.5 9095 202 447 255 1
19.625 9083 200 452 264 1
19.75 9071 202 456 270 1
19.875 9053 201 468 277 1
20 9048 195 473 283 1
20.125 9037 196 474 292 1
20.25 9029 189 471 310 1
20.375 9020 186 469 322 3
20.5 9013 175 469 340 3
20.625 9012 162 469 354 3
20.75 9008 152 474 363 3
20.875 9003 151 470 372 4
21 9003 141 468 384 4
21.125 9000 138 460 398 4
21.25 8999 134 458 405 4
21.375 8998 128 446 424 4
21.5 8995 118 454 429 4
21.625 8992 117 453 434 4
21.75 8988 112 454 442 4
21.875 8986 104 455 451 4
22 8984 101 454 457 4
22.125 8983 94 456 463 4
22.25 8976 92 450 478 4
22.375 8975 88 445 488 4
22.5 8974 82 442 498 4
22.625 8973 77 439 507 4
22.75 8971 74 436 515 4
22.875 8971 72 432 521 4
23 8969 66 420 541 4
23.125 8969 61 418 548 4
23.25 8969 60 411 556 4
23.375 8969 56 407 564 4
23.5 8966 55 403 572 4
23.625 8964 56 396 580 4
23.75 8961 53 389 592 5
23.875 8961 51 383 600 5
