t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9997 1 2 0 0
1.125 9997 1 2 0 0
1.25 9997 1 2 0 0
1.375 9997 1 2 0 0
1.5 9996 2 2 0 0
1.625 9996 2 2 0 0
1.75 9996 2 2 0 0
1.875 9995 3 2 0 0
2 9995 2 3 0 0
2.125 9995 2 3 0 0
2.25 9995 2 3 0 0
2.375 9995 2 2 1 0
2.5 9995 2 2 1 0
2.625 9995 2 2 1 0
2.75 9995 2 2 1 0
2.875 9995 2 2 1 0
3 9994 3 2 1 0
3.125 9994 3 2 1 0
3.25 9994 3 2 1 0
3.375 9994 3 2 1 0
3.5 9994 2 3 1 0
3.625 9994 2 3 1 0
3.75 9994 2 3 1 0
3.875 9994 2 3 1 0
4 9994 2 3 1 0
4.125 9994 2 3 1 0
4.25 9994 2 3 1 0
4.375 9994 2 3 1 0
4.5 9994 2 3 1 0
4.625 9993 3 3 1 0
4.75 9993 3 3 1 0
4.875 9993 2 4 1 0
5 9992 3 4 1 0
5.125 9992 3 3 2 0
5.25 9992 3 3 2 0
5.375 9992 3 3 2 0
5.5 9992 3 3 2 0
5.625 9992 3 2 3 0
5.75 9992 3 2 3 0
5.875 9992 3 2 3 0
6 9992 3 2 3 0
6.125 9992 3 2 3 0
6.25 9992 3 2 3 0
6.375 9990 5 2 3 0
6.5 9990 4 3 3 0
6.625 9990 3 4 3 0
6.75 9990 3 4 3 0
6.875 9990 3 4 3 0
7 9990 3 4 3 0
7.125 9990 3 3 4 0
7.25 9989 4 3 4 0
7.375 9987 5 4 4 0
7.5 9987 5 3 5 0
7.625 9986 6 3 5 0
7.75 9986 6 3 5 0
7.875 9985 7 3 5 0
8 9985 6 4 5 0
8.125 9985 6 4 5 0
8.25 9985 6 4 5 0
8.375 9985 6 4 5 0
8.5 9984 7 4 5 0
8.625 9984 6 5 5 0
8.75 9983 7 5 5 0
8.875 9983 7 5 5 0
9 9983 5 7 5 0
9.125 9983 5 7 5 0
9.25 9983 5 7 5 0
9.375 9981 7 7 5 0
9.5 9980 7 7 6 0
9.625 9980 7 7 6 0
9.75 9978 9 7 6 0
9.875 9978 7 9 6 0
10 9978 7 8 7 0
10.125 9978 7 8 7 0
10.25 9977 8 8 7 0
10.375 9977 8 8 7 0
10.5 9975 10 8 7 0
10.625 9973 11 9 7 0
10.75 9972 11 10 7 0
10.875 9972 11 10 7 0
11 9970 13 9 8 0
11.125 9969 12 11 8 0
11.25 9958 23 11 8 0
11.375 9954 27 11 8 0
11.5 9947 33 11 9 0
11.625 9941 36 14 9 0
11.75 9934 39 18 9 0
11.875 9927 46 16 11 0
12 9923 47 18 12 0
12.125 9920 50 18 12 0
12.25 9912 56 20 12 0
12.375 9905 61 22 12 0
12.5 9898 64 26 12 0
12.625 9891 66 31 12 0
12.75 9882 74 32 12 0
12.875 9878 75 35 12 0
13 9870 83 32 15 0
13.125 9861 88 35 16 0
13.25 9855 86 42 17 0
13.375 9847 85 50 18 0
13.5 9830 101 50 19 0
13.625 9811 113 56 20 0
13.75 9800 112 68 20 0
13.875 9783 121 76 20 0
14 9761 135 82 22 0
14.125 9734 158 85 23 0
14.25 9715 163 98 24 0
14.375 9696 170 108 26 0
14.5 9663 193 116 28 0
14.625 9629 217 123 31 0
14.75 9588 241 139 32 0
14.875 9559 255 154 32 0
15 9513 285 166 36 0
15.125 9469 314 179 38 0
15.25 9422 345 192 41 0
15.375 9376 370 209 45 0
15.5 9340 379 231 50 0
15.625 9302 390 255 53 0
15.75 9247 413 283 57 0
15.875 9182 450 309 59 0
16 9116 491 323 69 1
16.125 9107 479 340 73 1
16.25 9099 467 353 79 2
16.375 9090 450 370 88 2
16.5 9086 429 388 95 2
16.625 9081 405 409 103 2
16.75 9078 392 418 110 2
16.875 9069 385 427 117 2
17 9063 377 432 126 2
17.125 9060 361 440 136 3
17.25 9058 337 458 144 3
17.375 9053 321 469 154 3
17.5 9052 299 479 167 3
17.625 9049 282 493 173 3
17.75 9048 261 508 180 3
17.875 9043 244 518 192 3
18 9038 228 532 199 3
18.125 9033 223 530 211 3
18.25 9029 211 531 226 3
18.375 9027 197 535 237 4
18.5 9022 189 538 247 4
18.625 9022 178 538 257 5
18.75 9020 169 541 265 5
18.875 9017 167 537 274 5
19 9017 153 544 281 5
19.125 9017 145 541 292 5
19.25 9014 140 536 305 5
19.375 9010 137 537 311 5
19.5 9008 130 527 330 5
19.625 9005 126 527 336 6
19.75 9003 121 525 345 6
19.875 9002 114 526 352 6
20 9000 102 528 364 6
20.125 8997 99 521 377 6
20.25 8995 94 520 385 6
20.375 8994 88 517 395 6
20.5 8994 79 508 412 7
20.625 8992 76 505 420 7
20.75 8989 76 499 428 8
20.875 8988 74 494 436 8
21 8987 71 487 447 8
21.125 8987 65 484 456 8
21.25 8986 60 478 468 8
21.375 8986 58 466 482 8
21.5 8983 58 462 489 8
21.625 8983 57 453 499 8
21.75 8982 56 448 506 8
21.875 8982 52 443 514 9
22 8982 50 437 522 9
22.125 8982 46 435 528 9
22.25 8982 44 427 538 9
22.375 8982 40 423 546 9
22.5 8982 39 414 556 9
22.625 8980 38 410 563 9
22.75 8980 36 402 573 9
22.875 8980 33 392 586 9
23 8979 34 388 590 9
23.125 8978 33 380 600 9
23.25 8977 32 375 607 9
23.375 8976 31 373 611 9
23.5 8974 30 370 617 9
23.625 8974 28 370 619 9
23.75 8974 27 359 631 9
23.875 8974 24 353 640 9
