t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9996 2 2 0 0
1.125 9996 2 2 0 0
1.25 9996 2 2 0 0
1.375 9996 1 3 0 0
1.5 9996 1 3 0 0
1.625 9996 1 3 0 0
1.75 9996 1 3 0 0
1.875 9996 1 3 0 0
2 9996 1 3 0 0
2.125 9996 1 3 0 0
2.25 9995 2 3 0 0
2.375 9995 2 3 0 0
2.5 9995 2 3 0 0
2.625 9994 3 3 0 0
2.75 9994 3 3 0 0
2.875 9994 3 3 0 0
3 9993 4 2 1 0
3.125 9993 4 2 1 0
3.25 9992 5 2 1 0
3.375 9992 4 3 1 0
3.5 9991 5 3 1 0
3.625 9991 5 3 1 0
3.75 9990 6 3 1 0
3.875 9990 5 4 1 0
4 9990 5 4 1 0
4.125 9990 4 5 1 0
4.25 9989 5 5 1 0
4.375 9989 5 5 1 0
4.5 9989 5 5 1 0
4.625 9989 5 5 1 0
4.75 9987 7 5 1 0
4.875 9986 8 5 1 0
5 9985 9 5 1 0
5.125 9984 10 5 1 0
5.25 9984 10 5 1 0
5.375 9983 10 6 1 0
5.5 9982 9 8 1 0
5.625 9982 8 9 1 0
5.75 9979 11 9 1 0
5.875 9977 13 8 2 0
6 9977 12 9 2 0
6.125 9974 15 9 2 0
6.25 9970 19 8 3 0
6.375 9970 18 8 4 0
6.5 9970 18 8 4 0
6.625 9970 15 11 4 0
6.75 9969 15 12 4 0
6.875 9968 15 13 4 0
7 9967 15 14 4 0
7.125 9967 13 16 4 0
7.25 9962 17 16 5 0
7.375 9962 17 16 5 0
7.5 9959 17 19 5 0
7.625 9954 22 19 5 0
7.75 9948 27 19 6 0
7.875 9942 32 20 6 0
8 9935 38 20 7 0
8.125 9932 40 21 7 0
8.25 9925 44 23 8 0
8.375 9923 41 27 9 0
8.5 9922 39 29 10 0
