t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9996 2 2 0 0
1.125 9996 2 2 0 0
1.25 9995 3 2 0 0
1.375 9995 3 2 0 0
1.5 9994 4 2 0 0
1.625 9994 4 2 0 0
1.75 9994 4 2 0 0
1.875 9994 3 3 0 0
2 9994 3 3 0 0
2.125 9994 2 3 1 0
2.25 9994 2 3 1 0
2.375 9994 2 3 1 0
2.5 9994 2 3 1 0
2.625 9994 2 3 1 0
2.75 9994 2 3 1 0
2.875 9994 2 2 2 0
3 9994 1 3 2 0
3.125 9994 1 3 2 0
3.25 9994 1 3 2 0
3.375 9994 1 3 2 0
3.5 9993 2 3 2 0
3.625 9993 2 3 2 0
3.75 9993 2 3 2 0
3.875 9991 4 3 2 0
4 9990 5 2 3 0
4.125 9989 6 2 3 0
4.25 9989 6 2 3 0
4.375 9989 4 4 3 0
4.5 9985 8 4 3 0
4.625 9981 12 4 3 0
4.75 9976 16 5 3 0
4.875 9970 22 5 3 0
5 9966 24 6 4 0
5.125 9962 26 8 4 0
5.25 9960 27 9 4 0
5.375 9953 33 10 4 0
5.5 9949 36 11 4 0
5.625 9947 37 10 6 0
5.75 9943 40 10 7 0
5.875 9942 39 12 7 0
6 9941 37 15 7 0
6.125 9936 40 17 7 0
6.25 9929 44 20 7 0
6.375 9922 48 23 7 0
6.5 9915 54 23 8 0
6.625 9907 59 26 8 0
6.75 9896 64 32 8 0
6.875 9884 73 33 10 0
7 9870 84 35 11 0
7.125 9860 90 39 11 0
7.25 9845 102 42 11 0
7.375 9839 97 53 11 0
7.5 9825 104 57 14 0
7.625 9807 118 60 15 0
7.75 9794 122 68 16 0
7.875 9778 130 75 17 0
8 9770 130 82 18 0
8.125 9754 139 89 18 0
8.25 9737 143 99 21 0
8.375 9718 156 104 22 0
8.5 9698 165 114 23 0
