t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9997 1 2 0 0
1.125 9997 1 2 0 0
1.25 9997 1 2 0 0
1.375 9997 1 2 0 0
1.5 9997 0 3 0 0
1.625 9997 0 3 0 0
1.75 9997 0 3 0 0
1.875 9997 0 3 0 0
2 9997 0 2 1 0
2.125 9997 0 2 1 0
2.25 9997 0 2 1 0
2.375 9996 1 2 1 0
2.5 9996 1 2 1 0
2.625 9996 1 2 1 0
2.75 9996 1 2 1 0
2.875 9995 2 2 1 0
3 9995 2 2 1 0
3.125 9995 2 2 1 0
3.25 9995 2 2 1 0
3.375 9995 2 2 1 0
3.5 9995 2 2 1 0
3.625 9995 2 2 1 0
3.75 9995 1 3 1 0
3.875 9995 1 3 1 0
4 9995 1 3 1 0
4.125 9995 1 3 1 0
4.25 9995 1 3 1 0
4.375 9995 1 3 1 0
4.5 9995 1 3 1 0
4.625 9995 1 3 1 0
4.75 9995 1 3 1 0
4.875 9995 1 2 2 0
5 9995 0 3 2 0
5.125 9989 6 2 3 0
5.25 9981 13 3 3 0
5.375 9975 19 3 3 0
5.5 9973 20 3 4 0
5.625 9972 19 5 4 0
5.75 9972 18 6 4 0
5.875 9969 21 6 4 0
6 9964 25 7 4 0
6.125 9962 26 8 4 0
6.25 9960 26 10 4 0
6.375 9957 27 12 4 0
6.5 9950 31 15 4 0
6.625 9944 36 16 4 0
6.75 9937 43 16 4 0
6.875 9931 48 17 4 0
7 9928 49 19 4 0
7.125 9922 52 22 4 0
7.25 9916 57 23 4 0
7.375 9908 62 26 4 0
7.5 9903 63 30 4 0
7.625 9895 68 32 5 0
7.75 9888 73 34 5 0
7.875 9879 79 36 6 0
8 9863 92 39 6 0
8.125 9850 100 44 6 0
8.25 9846 96 52 6 0
8.375 9835 101 58 6 0
8.5 9821 108 64 7 0
