t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9997 1 2 0 0
1.125 9997 1 2 0 0
1.25 9997 0 3 0 0
1.375 9997 0 3 0 0
1.5 9997 0 3 0 0
1.625 9997 0 3 0 0
1.75 9997 0 3 0 0
1.875 9997 0 3 0 0
2 9996 1 3 0 0
2.125 9996 1 3 0 0
2.25 9994 3 3 0 0
2.375 9994 3 3 0 0
2.5 9993 4 3 0 0
2.625 9993 4 3 0 0
2.75 9991 6 3 0 0
2.875 9991 6 3 0 0
3 9991 6 3 0 0
3.125 9990 7 3 0 0
3.25 9990 6 4 0 0
3.375 9990 6 4 0 0
3.5 9990 6 4 0 0
3.625 9990 6 4 0 0
3.75 9990 6 4 0 0
3.875 9990 6 4 0 0
4 9990 6 3 1 0
4.125 9990 6 3 1 0
4.25 9989 6 4 1 0
4.375 9988 7 3 2 0
4.5 9988 7 3 2 0
4.625 9987 8 3 2 0
4.75 9986 9 3 2 0
4.875 9986 9 3 2 0
5 9986 7 4 3 0
5.125 9986 7 4 3 0
5.25 9985 8 4 3 0
5.375 9985 8 4 3 0
5.5 9984 9 4 3 0
5.625 9984 7 6 3 0
5.75 9981 10 6 3 0
5.875 9978 13 6 3 0
6 9977 13 7 3 0
6.125 9973 17 7 3 0
6.25 9973 16 8 3 0
6.375 9972 15 10 3 0
6.5 9969 18 10 3 0
6.625 9967 17 13 3 0
6.75 9964 18 15 3 0
6.875 9963 19 15 3 0
7 9962 19 16 3 0
7.125 9960 21 16 3 0
7.25 9958 22 16 4 0
7.375 9955 24 16 5 0
7.5 9954 24 17 5 0
7.625 9952 25 18 5 0
7.75 9947 27 21 5 0
7.875 9945 27 23 5 0
8 9941 29 24 6 0
8.125 9937 33 24 6 0
8.25 9935 34 25 6 0
8.375 9933 34 26 7 0
8.5 9930 35 28 7 0
