t S E I R D
0 9998 0 2 0 0
0.125 9998 0 1 1 0
0.25 9998 0 1 1 0
0.375 9998 0 1 1 0
0.5 9998 0 1 1 0
0.625 9998 0 1 1 0
0.75 9998 0 1 1 0
0.875 9998 0 1 1 0
1 9998 0 1 1 0
1.125 9998 0 1 1 0
1.25 9998 0 1 1 0
1.375 9998 0 1 1 0
1.5 9998 0 1 1 0
1.625 9998 0 1 1 0
1.75 9998 0 1 1 0
1.875 9998 0 1 1 0
2 9998 0 1 1 0
2.125 9998 0 1 1 0
2.25 9998 0 1 1 0
2.375 9998 0 1 1 0
2.5 9998 0 1 1 0
2.625 9998 0 1 1 0
2.75 9998 0 1 1 0
2.875 9998 0 1 1 0
3 9998 0 1 1 0
3.125 9998 0 1 1 0
3.25 9998 0 1 1 0
3.375 9998 0 1 1 0
3.5 9998 0 1 1 0
3.625 9997 1 1 1 0
3.75 9997 1 1 1 0
3.875 9997 1 1 1 0
4 9997 1 1 1 0
4.125 9997 1 1 1 0
4.25 9997 1 1 1 0
4.375 9997 1 1 1 0
4.5 9997 1 1 1 0
4.625 9997 1 1 1 0
4.75 9997 1 1 1 0
4.875 9997 1 1 1 0
5 9997 1 1 1 0
5.125 9997 1 1 1 0
5.25 9997 1 1 1 0
5.375 9997 1 1 1 0
5.5 9997 1 1 1 0
5.625 9997 1 1 1 0
5.75 9997 1 1 1 0
5.875 9997 1 1 1 0
6 9997 1 1 1 0
6.125 9997 1 1 1 0
6.25 9997 1 1 1 0
6.375 9997 1 1 1 0
6.5 9997 1 1 1 0
6.625 9997 0 2 1 0
6.75 9993 4 1 2 0
6.875 9987 10 1 2 0
7 9982 15 1 2 0
7.125 9976 20 2 2 0
7.25 9971 22 5 2 0
7.375 9968 24 6 2 0
7.5 9966 26 6 2 0
7.625 9964 27 7 2 0
7.75 9961 30 7 2 0
7.875 9956 33 9 2 0
8 9951 35 12 2 0
8.125 9946 39 13 2 0
8.25 9941 42 15 2 0
8.375 9939 43 15 3 0
8.5 9938 40 18 4 0
8.625 9935 40 21 4 0
8.75 9931 43 22 4 0
8.875 9930 39 27 4 0
9 9928 37 31 4 0
9.125 9922 41 32 5 0
9.25 9915 47 31 7 0
9.375 9908 52 32 8 0
9.5 9905 51 36 8 0
9.625 9891 61 39 9 0
9.75 9882 64 44 10 0
9.875 9869 75 46 10 0
10 9854 82 51 12 1
10.125 9854 73 60 12 1
10.25 9851 69 67 12 1
10.375 9848 68 68 15 1
10.5 9845 69 69 16 1
