t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9998 0 2 0 0
1.125 9997 1 2 0 0
1.25 9997 1 2 0 0
1.375 9997 1 2 0 0
1.5 9997 1 2 0 0
1.625 9997 1 2 0 0
1.75 9997 1 2 0 0
1.875 9997 1 2 0 0
2 9996 2 2 0 0
2.125 9996 1 3 0 0
2.25 9996 1 3 0 0
2.375 9996 1 3 0 0
2.5 9996 1 3 0 0
2.625 9996 1 3 0 0
2.75 9995 2 3 0 0
2.875 9995 2 3 0 0
3 9994 2 4 0 0
3.125 9994 2 3 1 0
3.25 9993 3 3 1 0
3.375 9992 4 3 1 0
3.5 9991 5 3 1 0
3.625 9990 6 3 1 0
3.75 9989 6 4 1 0
3.875 9989 6 4 1 0
4 9989 6 4 1 0
4.125 9989 5 5 1 0
4.25 9989 5 4 2 0
4.375 9989 3 6 2 0
4.5 9988 4 6 2 0
4.625 9988 4 6 2 0
4.75 9987 5 6 2 0
4.875 9985 6 7 2 0
5 9985 6 7 2 0
5.125 9985 6 7 2 0
5.25 9985 6 7 2 0
5.375 9985 4 9 2 0
5.5 9982 7 9 2 0
5.625 9982 6 10 2 0
5.75 9981 7 9 3 0
5.875 9978 10 9 3 0
6 9975 13 9 3 0
6.125 9974 14 9 3 0
6.25 9973 15 8 4 0
6.375 9970 16 10 4 0
6.5 9964 22 9 5 0
6.625 9960 23 12 5 0
6.75 9957 25 13 5 0
6.875 9954 27 13 6 0
7 9954 25 15 6 0
7.125 9952 24 16 8 0
7.25 9950 26 15 9 0
7.375 9950 25 16 9 0
7.5 9948 25 18 9 0
7.625 9948 23 20 9 0
7.75 9947 22 21 10 0
7.875 9938 29 23 10 0
8 9933 33 24 10 0
8.125 9925 39 25 11 0
8.25 9923 41 25 11 0
8.375 9920 38 31 11 0
8.5 9917 39 32 12 0
