t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 1 1 0
0.375 9997 0 2 1 0
0.5 9997 0 2 1 0
0.625 9997 0 2 1 0
0.75 9997 0 2 1 0
0.875 9997 0 2 1 0
1 9996 1 2 1 0
1.125 9996 1 2 1 0
1.25 9996 1 2 1 0
1.375 9996 1 1 2 0
1.5 9996 1 1 2 0
1.625 9996 1 1 2 0
1.75 9996 1 1 2 0
1.875 9996 1 1 2 0
2 9996 1 1 2 0
2.125 9996 1 1 2 0
2.25 9996 1 1 2 0
2.375 9996 1 1 2 0
2.5 9996 1 1 2 0
2.625 9996 1 1 2 0
2.75 9996 1 1 2 0
2.875 9996 1 1 2 0
3 9996 1 1 2 0
3.125 9996 1 1 2 0
3.25 9996 1 1 2 0
3.375 9996 1 1 2 0
3.5 9996 1 1 2 0
3.625 9996 1 1 2 0
3.75 9996 1 0 3 0
3.875 9996 1 0 3 0
4 9996 1 0 3 0
4.125 9996 1 0 3 0
4.25 9996 1 0 3 0
4.375 9996 1 0 3 0
4.5 9996 0 1 3 0
4.625 9991 5 1 3 0
4.75 9984 12 1 3 0
4.875 9979 17 1 3 0
5 9976 20 1 3 0
5.125 9971 23 3 3 0
5.25 9964 28 5 3 0
5.375 9957 34 6 3 0
5.5 9954 34 8 4 0
5.625 9947 38 10 5 0
5.75 9938 47 10 5 0
5.875 9937 44 14 5 0
6 9927 51 16 6 0
6.125 9914 61 19 6 0
6.25 9901 69 24 6 0
6.375 9887 82 25 6 0
6.5 9878 86 29 7 0
6.625 9861 97 35 7 0
6.75 9843 106 43 8 0
6.875 9827 115 49 9 0
7 9817 118 56 9 0
7.125 9807 121 61 11 0
7.25 9787 130 70 13 0
7.375 9775 133 78 14 0
7.5 9765 136 81 18 0
7.625 9744 149 89 18 0
7.75 9726 157 96 21 0
7.875 9706 165 107 22 0
8 9689 171 115 25 0
8.125 9670 181 120 29 0
8.25 9650 188 132 30 0
8.375 9627 198 142 33 0
8.5 9605 216 142 36 1
