t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9998 0 2 0 0
1.125 9998 0 2 0 0
1.25 9998 0 2 0 0
1.375 9998 0 2 0 0
1.5 9998 0 2 0 0
1.625 9997 1 2 0 0
1.75 9997 1 2 0 0
1.875 9996 2 2 0 0
2 9996 2 2 0 0
2.125 9996 2 2 0 0
2.25 9996 2 2 0 0
2.375 9996 1 3 0 0
2.5 9995 2 3 0 0
2.625 9995 2 3 0 0
2.75 9993 4 3 0 0
2.875 9992 5 3 0 0
3 9992 5 2 1 0
3.125 9991 6 2 1 0
3.25 9990 6 3 1 0
3.375 9989 5 4 2 0
3.5 9989 5 4 2 0
3.625 9989 5 4 2 0
3.75 9989 4 5 2 0
3.875 9987 5 6 2 0
4 9986 6 6 2 0
4.125 9986 6 6 2 0
4.25 9984 8 6 2 0
4.375 9983 8 7 2 0
4.5 9981 10 7 2 0
4.625 9980 11 7 2 0
4.75 9979 11 8 2 0
4.875 9978 12 8 2 0
5 9977 13 8 2 0
5.125 9976 13 9 2 0
5.25 9972 17 8 3 0
5.375 9970 17 9 4 0
5.5 9969 18 9 4 0
5.625 9968 19 8 5 0
5.75 9966 18 11 5 0
5.875 9960 24 10 6 0
6 9958 24 12 6 0
6.125 9950 30 12 8 0
6.25 9947 30 15 8 0
6.375 9947 29 16 8 0
6.5 9942 32 18 8 0
6.625 9938 35 19 8 0
6.75 9936 34 20 10 0
6.875 9932 38 20 10 0
7 9928 40 22 10 0
7.125 9926 39 25 10 0
7.25 9923 38 29 10 0
7.375 9917 40 32 11 0
7.5 9915 39 34 12 0
7.625 9903 49 36 12 0
7.75 9898 51 39 12 0
7.875 9887 58 41 14 0
8 9869 73 42 16 0
8.125 9859 82 41 18 0
8.25 9849 85 48 18 0
8.375 9840 91 50 19 0
8.5 9839 85 57 19 0
