t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9997 1 2 0 0
1 9997 1 2 0 0
1.125 9997 1 2 0 0
1.25 9997 0 3 0 0
1.375 9997 0 3 0 0
1.5 9996 1 3 0 0
1.625 9996 1 3 0 0
1.75 9996 1 3 0 0
1.875 9995 2 3 0 0
2 9995 2 3 0 0
2.125 9994 2 4 0 0
2.25 9994 2 4 0 0
2.375 9994 2 4 0 0
2.5 9994 2 4 0 0
2.625 9994 2 4 0 0
2.75 9994 2 4 0 0
2.875 9994 1 5 0 0
3 9993 2 5 0 0
3.125 9992 3 5 0 0
3.25 9991 3 5 1 0
3.375 9988 6 5 1 0
3.5 9988 5 6 1 0
3.625 9988 5 6 1 0
3.75 9988 5 6 1 0
3.875 9987 5 7 1 0
4 9987 5 7 1 0
4.125 9987 3 8 2 0
4.25 9987 2 9 2 0
4.375 9985 3 10 2 0
4.5 9983 5 9 3 0
4.625 9982 6 9 3 0
4.75 9978 9 10 3 0
4.875 9977 10 9 4 0
5 9974 12 10 4 0
5.125 9972 14 10 4 0
5.25 9970 16 10 4 0
5.375 9969 15 12 4 0
5.5 9968 15 13 4 0
5.625 9967 14 13 6 0
5.75 9966 13 15 6 0
5.875 9963 16 15 6 0
6 9961 18 13 8 0
6.125 9954 22 16 8 0
6.25 9954 21 16 9 0
6.375 9952 22 17 9 0
6.5 9949 24 18 9 0
6.625 9943 30 17 10 0
6.75 9939 32 19 10 0
6.875 9932 34 24 10 0
7 9925 40 24 11 0
7.125 9918 46 25 11 0
7.25 9912 50 27 11 0
7.375 9905 53 30 12 0
7.5 9892 65 31 12 0
7.625 9882 73 33 12 0
7.75 9872 80 36 12 0
7.875 9859 87 40 14 0
8 9848 96 41 15 0
8.125 9836 101 48 15 0
8.25 9827 100 57 16 0
8.375 9809 112 63 16 0
8.5 9784 131 69 16 0
