t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9996 2 2 0 0
1 9996 2 2 0 0
1.125 9996 2 2 0 0
1.25 9996 2 2 0 0
1.375 9996 1 3 0 0
1.5 9996 1 3 0 0
1.625 9995 2 3 0 0
1.75 9995 2 3 0 0
1.875 9992 5 3 0 0
2 9991 6 3 0 0
2.125 9991 6 3 0 0
2.25 9991 5 4 0 0
2.375 9989 7 4 0 0
2.5 9987 9 4 0 0
2.625 9987 7 6 0 0
2.75 9986 8 6 0 0
2.875 9986 8 5 1 0
3 9985 9 5 1 0
3.125 9983 11 5 1 0
3.25 9981 12 6 1 0
3.375 9980 12 7 1 0
3.5 9979 13 7 1 0
3.625 9977 15 7 1 0
3.75 9977 14 8 1 0
3.875 9976 15 8 1 0
4 9976 14 9 1 0
4.125 9972 17 9 2 0
4.25 9972 16 10 2 0
4.375 9969 19 10 2 0
4.5 9965 22 11 2 0
4.625 9963 23 12 2 0
4.75 9962 23 11 4 0
4.875 9958 26 12 4 0
5 9956 25 15 4 0
5.125 9955 24 17 4 0
5.25 9953 25 18 4 0
5.375 9952 25 19 4 0
5.5 9947 30 18 5 0
5.625 9946 29 20 5 0
5.75 9943 31 21 5 0
5.875 9939 34 22 5 0
6 9935 35 25 5 0
6.125 9932 37 26 5 0
6.25 9928 40 25 7 0
6.375 9923 44 26 7 0
6.5 9920 45 27 8 0
6.625 9917 45 30 8 0
6.75 9913 46 33 8 0
6.875 9906 47 39 8 0
7 9899 54 39 8 0
7.125 9890 59 43 8 0
7.25 9887 57 46 10 0
7.375 9883 57 46 14 0
7.5 9880 57 47 16 0
7.625 9873 60 51 16 0
7.75 9861 68 55 16 0
7.875 9845 81 57 17 0
8 9834 90 57 19 0
8.125 9823 96 61 20 0
8.25 9804 105 71 20 0
8.375 9790 113 73 24 0
8.5 9772 123 81 24 0
