t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9997 1 2 0 0
1.125 9997 1 2 0 0
1.25 9997 1 2 0 0
1.375 9997 1 2 0 0
1.5 9997 1 2 0 0
1.625 9997 1 2 0 0
1.75 9997 0 3 0 0
1.875 9996 1 3 0 0
2 9996 1 3 0 0
2.125 9996 1 3 0 0
2.25 9996 1 3 0 0
2.375 9995 2 3 0 0
2.5 9995 2 3 0 0
2.625 9995 1 4 0 0
2.75 9995 1 4 0 0
2.875 9994 2 3 1 0
3 9994 1 4 1 0
3.125 9994 1 4 1 0
3.25 9994 1 4 1 0
3.375 9994 1 3 2 0
3.5 9992 3 3 2 0
3.625 9992 3 3 2 0
3.75 9991 3 4 2 0
3.875 9991 3 4 2 0
4 9990 2 6 2 0
4.125 9990 2 6 2 0
4.25 9990 2 6 2 0
4.375 9988 4 6 2 0
4.5 9987 5 6 2 0
4.625 9987 4 7 2 0
4.75 9985 6 7 2 0
4.875 9985 5 8 2 0
5 9985 4 9 2 0
5.125 9981 8 9 2 0
5.25 9979 10 9 2 0
5.375 9974 15 8 3 0
5.5 9969 19 8 4 0
5.625 9966 21 9 4 0
5.75 9960 26 10 4 0
5.875 9956 28 12 4 0
6 9953 30 13 4 0
6.125 9945 34 17 4 0
6.25 9931 47 18 4 0
6.375 9922 53 21 4 0
6.5 9909 64 23 4 0
6.625 9897 74 25 4 0
6.75 9889 79 26 6 0
6.875 9864 96 34 6 0
7 9844 108 41 7 0
7.125 9821 126 43 10 0
7.25 9800 142 48 10 0
7.375 9762 169 56 13 0
7.5 9740 172 72 16 0
7.625 9714 187 79 20 0
7.75 9697 195 87 21 0
7.875 9673 209 95 23 0
8 9645 224 106 25 0
8.125 9608 248 117 27 0
8.25 9580 262 125 33 0
8.375 9547 287 130 36 0
8.5 9513 300 149 38 0
