t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 0 3 0 0
0.625 9997 0 3 0 0
0.75 9996 1 3 0 0
0.875 9996 1 3 0 0
1 9996 1 3 0 0
1.125 9996 1 3 0 0
1.25 9996 1 3 0 0
1.375 9996 1 3 0 0
1.5 9996 1 3 0 0
1.625 9996 1 3 0 0
1.75 9995 2 3 0 0
1.875 9995 2 3 0 0
2 9995 2 3 0 0
2.125 9995 1 3 1 0
2.25 9994 2 3 1 0
2.375 9994 2 3 1 0
2.5 9994 1 4 1 0
2.625 9992 3 4 1 0
2.75 9988 7 4 1 0
2.875 9987 8 4 1 0
3 9986 8 5 1 0
3.125 9985 9 5 1 0
3.25 9984 9 6 1 0
3.375 9983 10 6 1 0
3.5 9980 12 6 2 0
3.625 9978 14 6 2 0
3.75 9977 14 6 3 0
3.875 9973 18 6 3 0
4 9973 17 7 3 0
4.125 9971 18 8 3 0
4.25 9970 16 11 3 0
4.375 9965 21 11 3 0
4.5 9960 25 12 3 0
4.625 9959 22 16 3 0
4.75 9952 27 18 3 0
4.875 9944 32 19 5 0
5 9936 40 18 6 0
5.125 9922 52 20 6 0
5.25 9911 59 24 6 0
5.375 9898 71 25 6 0
5.5 9893 70 31 6 0
5.625 9879 80 34 7 0
5.75 9873 79 41 7 0
5.875 9865 82 45 8 0
6 9854 88 50 8 0
6.125 9835 98 58 9 0
6.25 9819 104 67 10 0
6.375 9806 110 72 12 0
6.5 9793 115 79 13 0
6.625 9775 123 88 14 0
6.75 9752 141 91 16 0
6.875 9734 156 92 18 0
7 9710 168 104 18 0
7.125 9694 177 108 21 0
7.25 9678 181 120 21 0
7.375 9650 191 133 26 0
7.5 9622 205 146 27 0
7.625 9592 221 156 31 0
7.75 9565 236 166 33 0
7.875 9542 246 178 34 0
8 9510 260 194 36 0
8.125 9469 287 203 41 0
8.25 9437 301 219 43 0
8.375 9407 320 223 50 0
8.5 9375 333 237 55 0
