t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9996 2 2 0 0
0.875 9995 3 2 0 0
1 9995 3 2 0 0
1.125 9995 3 2 0 0
1.25 9995 3 2 0 0
1.375 9995 3 2 0 0
1.5 9995 3 2 0 0
1.625 9995 3 2 0 0
1.75 9995 3 2 0 0
1.875 9994 4 2 0 0
2 9994 4 2 0 0
2.125 9994 3 3 0 0
2.25 9993 4 3 0 0
2.375 9992 5 3 0 0
2.5 9990 7 2 1 0
2.625 9990 7 2 1 0
2.75 9990 7 2 1 0
2.875 9990 7 2 1 0
3 9990 7 2 1 0
3.125 9990 6 3 1 0
3.25 9990 4 5 1 0
3.375 9990 4 5 1 0
3.5 9989 5 5 1 0
3.625 9988 6 4 2 0
3.75 9986 8 4 2 0
3.875 9986 8 4 2 0
4 9986 8 4 2 0
4.125 9984 10 4 2 0
4.25 9984 8 6 2 0
4.375 9982 8 8 2 0
4.5 9980 10 8 2 0
4.625 9980 10 7 3 0
4.75 9977 13 7 3 0
4.875 9973 17 6 4 0
5 9973 14 9 4 0
5.125 9972 13 11 4 0
5.25 9970 13 13 4 0
5.375 9967 16 13 4 0
5.5 9962 20 14 4 0
5.625 9958 22 16 4 0
5.75 9956 23 17 4 0
5.875 9954 24 18 4 0
6 9954 23 18 5 0
6.125 9952 25 17 6 0
6.25 9951 26 17 6 0
6.375 9950 25 18 7 0
6.5 9948 27 18 7 0
6.625 9945 27 20 8 0
6.75 9938 30 24 8 0
6.875 9930 35 27 8 0
7 9926 38 28 8 0
7.125 9923 40 28 9 0
7.25 9920 42 29 9 0
7.375 9914 45 31 10 0
7.5 9908 46 35 11 0
7.625 9905 48 36 11 0
7.75 9901 47 40 12 0
7.875 9893 50 44 13 0
8 9883 56 48 13 0
8.125 9873 62 51 14 0
8.25 9864 67 54 15 0
8.375 9854 77 52 17 0
8.5 9836 90 55 19 0
