t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9996 2 2 0 0
0.625 9996 2 2 0 0
0.75 9996 2 2 0 0
0.875 9996 2 2 0 0
1 9996 2 1 1 0
1.125 9996 2 1 1 0
1.25 9996 2 1 1 0
1.375 9996 2 1 1 0
1.5 9996 2 1 1 0
1.625 9996 2 1 1 0
1.75 9996 2 1 1 0
1.875 9996 2 1 1 0
2 9996 1 2 1 0
2.125 9996 1 2 1 0
2.25 9996 1 2 1 0
2.375 9996 1 2 1 0
2.5 9996 1 2 1 0
2.625 9996 1 2 1 0
2.75 9996 1 2 1 0
2.875 9996 1 2 1 0
3 9996 1 2 1 0
3.125 9996 1 2 1 0
3.25 9996 1 2 1 0
3.375 9996 1 2 1 0
3.5 9996 0 3 1 0
3.625 9996 0 3 1 0
3.75 9996 0 3 1 0
3.875 9996 0 3 1 0
4 9996 0 3 1 0
4.125 9996 0 3 1 0
4.25 9996 0 3 1 0
4.375 9996 0 3 1 0
4.5 9996 0 3 1 0
4.625 9996 0 3 1 0
4.75 9994 2 3 1 0
4.875 9994 2 3 1 0
5 9994 2 3 1 0
5.125 9994 2 3 1 0
5.25 9994 2 3 1 0
5.375 9994 2 3 1 0
5.5 9994 2 3 1 0
5.625 9994 2 3 1 0
5.75 9994 2 2 2 0
5.875 9994 2 2 2 0
6 9994 2 2 2 0
6.125 9994 2 2 2 0
6.25 9994 2 2 2 0
6.375 9994 2 2 2 0
6.5 9994 2 1 3 0
6.625 9994 2 0 4 0
6.75 9994 2 0 4 0
6.875 9994 2 0 4 0
7 9994 1 1 4 0
7.125 9994 1 1 4 0
7.25 9994 1 1 4 0
7.375 9994 1 1 4 0
7.5 9994 1 1 4 0
7.625 9994 1 1 4 0
7.75 9994 1 1 4 0
7.875 9994 1 1 4 0
8 9994 0 2 4 0
8.125 9994 0 2 4 0
8.25 9994 0 2 4 0
8.375 9994 0 2 4 0
8.5 9994 0 2 4 0
8.625 9994 0 2 4 0
8.75 9993 1 2 4 0
8.875 9993 0 3 4 0
9 9989 4 3 4 0
9.125 9989 4 3 4 0
9.25 9989 3 4 4 0
9.375 9984 8 4 4 0
9.5 9980 12 4 4 0
9.625 9977 15 4 4 0
9.75 9975 16 5 4 0
9.875 9972 19 5 4 0
10 9970 18 8 4 0
10.125 9968 20 7 5 0
10.25 9966 20 9 5 0
10.375 9958 27 10 5 0
10.5 9946 35 14 5 0
10.625 9935 43 16 6 0
10.75 9928 46 20 6 0
10.875 9919 54 21 6 0
11 9909 62 22 7 0
11.125 9902 58 33 7 0
11.25 9895 59 39 7 0
11.375 9880 70 42 8 0
11.5 9869 75 47 9 0
11.625 9854 86 50 10 0
11.75 9836 97 56 11 0
11.875 9823 104 61 12 0
12 9803 117 67 13 0
12.125 9780 130 77 13 0
12.25 9758 142 87 13 0
12.375 9730 161 95 14 0
12.5 9705 178 100 17 0
12.625 9665 205 111 19 0
12.75 9629 230 119 21 1
12.875 9623 217 132 27 1
13 9616 210 143 30 1
13.125 9614 202 147 36 1
13.25 9611 194 157 37 1
13.375 9607 186 165 41 1
13.5 9599 181 174 45 1
13.625 9594 174 184 47 1
13.75 9588 165 198 48 1
13.875 9582 156 203 58 1
14 9576 153 207 63 1
14.125 9572 141 222 64 1
14.25 9563 134 237 65 1
14.375 9553 140 238 68 1
14.5 9544 139 241 75 1
14.625 9539 136 240 84 1
14.75 9531 134 249 85 1
14.875 9525 131 252 91 1
15 9512 133 254 99 2
15.125 9511 127 257 103 2
15.25 9506 124 262 106 2
15.375 9501 121 265 111 2
15.5 9499 114 270 115 2
15.625 9496 109 272 121 2
15.75 9490 111 272 125 2
15.875 9488 106 274 129 3
16 9481 106 278 132 3
16.125 9479 100 283 135 3
16.25 9474 98 281 143 4
16.375 9471 97 276 149 7
16.5 9471 91 279 152 7
16.625 9470 85 280 158 7
16.75 9468 81 279 165 7
16.875 9466 75 278 174 7
17 9466 68 281 178 7
17.125 9464 67 283 179 7
17.25 9463 64 285 181 7
17.375 9463 57 291 182 7
17.5 9462 56 287 188 7
17.625 9462 55 281 195 7
17.75 9462 55 276 200 7
17.875 9462 51 273 207 7
18 9461 49 273 210 7
18.125 9461 48 271 213 7
18.25 9461 48 266 218 7
18.375 9460 46 263 224 7
18.5 9459 47 259 228 7
18.625 9458 45 255 235 7
18.75 9458 42 252 241 7
18.875 9458 40 251 244 7
19 9456 42 247 248 7
19.125 9456 41 245 251 7
19.25 9455 41 235 262 7
19.375 9454 38 236 265 7
19.5 9454 37 234 268 7
19.625 9454 36 229 274 7
19.75 9453 35 227 278 7
19.875 9452 32 227 282 7
20 9451 32 222 288 7
20.125 9450 33 216 292 9
20.25 9449 33 212 297 9
20.375 9449 28 212 302 9
20.5 9448 29 203 311 9
20.625 9448 28 200 315 9
20.75 9448 28 198 317 9
20.875 9448 26 197 320 9
21 9448 23 194 326 9
21.125 9447 23 191 330 9
21.25 9447 22 189 333 9
21.375 9447 20 190 334 9
21.5 9446 20 190 335 9
21.625 9445 21 184 341 9
21.75 9444 21 179 347 9
21.875 9443 19 179 350 9
22 9443 18 179 351 9
22.125 9443 16 177 355 9
22.25 9443 13 178 357 9
22.375 9443 13 176 359 9
22.5 9443 11 176 361 9
22.625 9443 11 170 366 10
22.75 9443 8 170 369 10
22.875 9443 8 166 373 10
23 9442 9 161 378 10
23.125 9442 9 156 382 11
23.25 9442 9 154 384 11
23.375 9442 8 152 387 11
23.5 9442 7 147 393 11
23.625 9442 6 147 394 11
23.75 9442 6 146 395 11
23.875 9442 6 143 398 11
