t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9997 1 2 0 0
1.125 9997 1 2 0 0
1.25 9997 1 2 0 0
1.375 9997 1 2 0 0
1.5 9997 1 2 0 0
1.625 9997 1 2 0 0
1.75 9997 1 2 0 0
1.875 9997 1 2 0 0
2 9996 2 2 0 0
2.125 9996 2 2 0 0
2.25 9996 2 2 0 0
2.375 9996 2 2 0 0
2.5 9995 3 2 0 0
2.625 9995 3 2 0 0
2.75 9995 3 2 0 0
2.875 9995 2 3 0 0
3 9995 2 3 0 0
3.125 9995 2 3 0 0
3.25 9994 3 3 0 0
3.375 9994 3 3 0 0
3.5 9992 5 3 0 0
3.625 9992 5 3 0 0
3.75 9990 7 3 0 0
3.875 9990 5 5 0 0
4 9990 5 5 0 0
4.125 9989 6 4 1 0
4.25 9989 5 5 1 0
4.375 9988 6 5 1 0
4.5 9987 7 5 1 0
4.625 9985 9 5 1 0
4.75 9985 9 5 1 0
4.875 9985 9 5 1 0
5 9984 8 7 1 0
5.125 9984 8 7 1 0
5.25 9981 11 7 1 0
5.375 9980 12 7 1 0
5.5 9979 11 9 1 0
5.625 9978 12 9 1 0
5.75 9978 12 9 1 0
5.875 9978 12 9 1 0
6 9976 14 8 2 0
6.125 9976 13 9 2 0
6.25 9976 12 10 2 0
6.375 9974 14 10 2 0
6.5 9973 14 11 2 0
6.625 9972 14 11 3 0
6.75 9971 14 12 3 0
6.875 9971 13 12 4 0
7 9971 11 14 4 0
7.125 9968 14 13 5 0
7.25 9968 14 13 5 0
7.375 9967 13 14 6 0
7.5 9966 13 15 6 0
7.625 9965 11 18 6 0
7.75 9964 11 18 7 0
7.875 9962 13 16 9 0
8 9961 13 17 9 0
8.125 9958 16 17 9 0
8.25 9957 15 19 9 0
8.375 9955 15 21 9 0
8.5 9955 13 23 9 0
