t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9998 0 2 0 0
1.125 9997 1 2 0 0
1.25 9997 1 2 0 0
1.375 9997 1 2 0 0
1.5 9997 1 2 0 0
1.625 9997 1 2 0 0
1.75 9997 1 2 0 0
1.875 9997 1 2 0 0
2 9997 1 2 0 0
2.125 9997 1 2 0 0
2.25 9997 1 2 0 0
2.375 9997 1 2 0 0
2.5 9997 1 2 0 0
2.625 9997 1 2 0 0
2.75 9997 1 2 0 0
2.875 9997 1 2 0 0
3 9997 1 2 0 0
3.125 9997 0 3 0 0
3.25 9997 0 3 0 0
3.375 9996 1 3 0 0
3.5 9996 1 3 0 0
3.625 9994 3 3 0 0
3.75 9993 4 3 0 0
3.875 9992 5 3 0 0
4 9992 4 3 1 0
4.125 9984 12 3 1 0
4.25 9981 15 2 2 0
4.375 9975 20 3 2 0
4.5 9970 23 5 2 0
4.625 9965 27 6 2 0
4.75 9955 35 8 2 0
4.875 9948 39 11 2 0
5 9944 41 13 2 0
5.125 9939 42 17 2 0
5.25 9932 45 21 2 0
5.375 9923 49 26 2 0
5.5 9917 53 28 2 0
5.625 9909 60 29 2 0
5.75 9898 71 28 3 0
5.875 9892 73 32 3 0
6 9885 71 39 5 0
6.125 9877 75 42 6 0
6.25 9870 71 52 7 0
6.375 9853 85 54 8 0
6.5 9835 100 56 9 0
6.625 9817 113 57 13 0
6.75 9798 120 69 13 0
6.875 9778 136 70 16 0
7 9760 147 76 17 0
7.125 9738 161 82 19 0
7.25 9709 179 93 19 0
7.375 9678 193 107 22 0
7.5 9654 212 111 23 0
7.625 9631 220 124 25 0
7.75 9598 235 139 28 0
7.875 9551 268 151 30 0
8 9501 298 170 31 0
8.125 9462 317 186 35 0
8.25 9403 366 193 38 0
8.375 9349 403 205 43 0
8.5 9310 419 219 52 0
