t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9998 0 2 0 0
1.125 9998 0 2 0 0
1.25 9998 0 2 0 0
1.375 9998 0 1 1 0
1.5 9998 0 1 1 0
1.625 9998 0 1 1 0
1.75 9998 0 1 1 0
1.875 9998 0 1 1 0
2 9998 0 1 1 0
2.125 9998 0 1 1 0
2.25 9998 0 1 1 0
2.375 9997 1 1 1 0
2.5 9997 1 1 1 0
2.625 9997 1 1 1 0
2.75 9997 1 1 1 0
2.875 9997 1 1 1 0
3 9997 1 1 1 0
3.125 9997 1 1 1 0
3.25 9997 1 1 1 0
3.375 9997 1 1 1 0
3.5 9997 1 1 1 0
3.625 9997 1 1 1 0
3.75 9997 1 1 1 0
3.875 9997 1 1 1 0
4 9997 0 2 1 0
4.125 9997 0 2 1 0
4.25 9996 1 2 1 0
4.375 9996 1 2 1 0
4.5 9994 3 2 1 0
4.625 9993 3 3 1 0
4.75 9992 4 3 1 0
4.875 9992 4 3 1 0
5 9991 5 3 1 0
5.125 9990 5 4 1 0
5.25 9990 5 4 1 0
5.375 9990 5 4 1 0
5.5 9990 5 4 1 0
5.625 9989 6 4 1 0
5.75 9987 8 4 1 0
5.875 9987 8 4 1 0
6 9986 9 4 1 0
6.125 9986 9 4 1 0
6.25 9985 10 4 1 0
6.375 9984 10 5 1 0
6.5 9984 10 5 1 0
6.625 9984 7 8 1 0
6.75 9980 10 9 1 0
6.875 9970 20 8 2 0
7 9967 20 11 2 0
7.125 9961 24 13 2 0
7.25 9955 28 15 2 0
7.375 9950 32 16 2 0
7.5 9942 39 16 3 0
7.625 9937 43 17 3 0
7.75 9933 44 19 4 0
7.875 9925 47 23 5 0
8 9916 49 30 5 0
8.125 9903 60 32 5 0
8.25 9894 65 36 5 0
8.375 9885 71 39 5 0
8.5 9876 76 41 7 0
