t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9997 1 2 0 0
0.5 9996 2 2 0 0
0.625 9996 2 2 0 0
0.75 9996 2 2 0 0
0.875 9995 3 2 0 0
1 9995 3 2 0 0
1.125 9994 4 2 0 0
1.25 9993 5 2 0 0
1.375 9993 5 2 0 0
1.5 9992 6 2 0 0
1.625 9992 6 2 0 0
1.75 9992 6 2 0 0
1.875 9992 5 3 0 0
2 9992 4 4 0 0
2.125 9991 4 5 0 0
2.25 9990 4 6 0 0
2.375 9990 4 6 0 0
2.5 9988 6 6 0 0
2.625 9986 7 7 0 0
2.75 9986 7 7 0 0
2.875 9985 8 7 0 0
3 9981 12 7 0 0
3.125 9981 11 8 0 0
3.25 9980 12 8 0 0
3.375 9979 13 8 0 0
3.5 9978 14 8 0 0
3.625 9975 16 9 0 0
3.75 9975 15 10 0 0
3.875 9971 17 12 0 0
4 9967 21 12 0 0
4.125 9966 20 13 1 0
4.25 9962 24 13 1 0
4.375 9956 30 13 1 0
4.5 9953 29 17 1 0
4.625 9951 29 18 2 0
4.75 9947 32 19 2 0
4.875 9938 40 20 2 0
5 9931 45 21 2 1
5.125 9923 51 23 2 1
5.25 9914 54 29 2 1
5.375 9908 55 34 2 1
5.5 9900 60 35 4 1
5.625 9890 65 39 5 1
5.75 9878 74 42 5 1
5.875 9857 92 45 5 1
6 9844 101 49 5 1
6.125 9821 115 58 5 1
6.25 9800 128 63 8 1
6.375 9779 142 68 10 1
6.5 9760 151 77 11 1
6.625 9733 166 88 12 1
6.75 9713 174 99 13 1
6.875 9696 178 110 15 1
7 9671 193 118 17 1
7.125 9639 211 126 23 1
7.25 9612 227 137 23 1
7.375 9586 240 150 23 1
7.5 9548 268 158 25 1
7.625 9508 291 172 28 1
7.75 9475 301 193 30 1
7.875 9453 301 211 34 1
8 9410 322 232 35 1
8.125 9366 351 242 40 1
8.25 9325 372 260 42 1
8.375 9272 409 273 45 1
8.5 9218 430 302 49 1
