t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9996 2 2 0 0
1.125 9996 2 2 0 0
1.25 9996 1 3 0 0
1.375 9996 1 3 0 0
1.5 9995 2 3 0 0
1.625 9995 2 3 0 0
1.75 9995 2 3 0 0
1.875 9995 2 3 0 0
2 9994 3 3 0 0
2.125 9994 3 3 0 0
2.25 9994 3 3 0 0
2.375 9994 3 3 0 0
2.5 9993 4 3 0 0
2.625 9993 4 3 0 0
2.75 9993 4 3 0 0
2.875 9992 5 3 0 0
3 9992 4 4 0 0
3.125 9992 3 5 0 0
3.25 9990 4 6 0 0
3.375 9984 10 5 1 0
3.5 9982 11 6 1 0
3.625 9978 15 6 1 0
3.75 9976 14 9 1 0
3.875 9973 17 9 1 0
4 9971 19 8 2 0
4.125 9967 21 9 3 0
4.25 9966 20 11 3 0
4.375 9962 23 12 3 0
4.5 9960 24 13 3 0
4.625 9954 29 13 4 0
4.75 9951 31 14 4 0
4.875 9939 42 15 4 0
5 9932 45 19 4 0
5.125 9912 62 22 4 0
5.25 9897 74 25 4 0
5.375 9883 82 30 5 0
5.5 9848 111 34 7 0
5.625 9819 131 43 7 0
5.75 9790 154 47 9 0
5.875 9766 170 53 11 0
6 9745 180 63 12 0
6.125 9720 187 81 12 0
6.25 9685 213 90 12 0
6.375 9644 244 98 14 0
6.5 9602 270 112 16 0
6.625 9568 288 124 20 0
6.75 9532 307 139 22 0
6.875 9482 336 158 24 0
7 9436 356 181 27 0
7.125 9387 376 208 29 0
7.25 9344 388 232 36 0
7.375 9293 418 242 47 0
7.5 9230 455 261 54 0
7.625 9174 490 278 58 0
7.75 9120 513 298 69 0
7.875 9045 557 325 73 0
8 8975 587 362 76 0
8.125 8901 620 398 81 0
8.25 8843 644 421 92 0
8.375 8772 672 447 109 0
8.5 8715 684 486 115 0
