t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9996 2 2 0 0
0.5 9996 2 2 0 0
0.625 9996 2 2 0 0
0.75 9995 3 2 0 0
0.875 9995 3 2 0 0
1 9995 3 2 0 0
1.125 9995 3 2 0 0
1.25 9995 3 2 0 0
1.375 9995 3 2 0 0
1.5 9995 3 2 0 0
1.625 9995 3 2 0 0
1.75 9994 4 2 0 0
1.875 9994 4 2 0 0
2 9994 4 2 0 0
2.125 9994 3 3 0 0
2.25 9992 4 4 0 0
2.375 9992 3 5 0 0
2.5 9992 3 5 0 0
2.625 9991 4 5 0 0
2.75 9991 4 5 0 0
2.875 9990 5 5 0 0
3 9990 5 5 0 0
3.125 9989 6 5 0 0
3.25 9989 6 5 0 0
3.375 9989 6 5 0 0
3.5 9988 7 5 0 0
3.625 9987 8 5 0 0
3.75 9987 8 5 0 0
3.875 9987 8 5 0 0
4 9986 8 6 0 0
4.125 9985 8 7 0 0
4.25 9983 10 7 0 0
4.375 9983 10 7 0 0
4.5 9982 10 8 0 0
4.625 9981 10 9 0 0
4.75 9980 10 10 0 0
4.875 9980 10 10 0 0
5 9980 10 10 0 0
5.125 9979 10 10 1 0
5.25 9979 9 11 1 0
5.375 9978 9 12 1 0
5.5 9978 9 12 1 0
5.625 9978 9 12 1 0
5.75 9975 10 14 1 0
5.875 9973 11 13 3 0
6 9973 11 13 3 0
6.125 9973 11 13 3 0
6.25 9973 11 13 3 0
6.375 9973 10 14 3 0
6.5 9970 13 14 3 0
6.625 9970 12 15 3 0
6.75 9967 15 15 3 0
6.875 9967 14 16 3 0
7 9967 14 15 4 0
7.125 9964 16 16 4 0
7.25 9964 16 16 4 0
7.375 9964 14 18 4 0
7.5 9961 16 18 5 0
7.625 9957 20 18 5 0
7.75 9956 21 17 6 0
7.875 9952 22 19 7 0
8 9948 25 20 7 0
8.125 9947 24 22 7 0
8.25 9945 25 23 7 0
8.375 9942 27 24 7 0
8.5 9938 24 31 7 0
