t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 0 3 0 0
0.625 9997 0 3 0 0
0.75 9997 0 3 0 0
0.875 9996 1 2 1 0
1 9996 1 2 1 0
1.125 9996 1 2 1 0
1.25 9995 2 2 1 0
1.375 9995 2 2 1 0
1.5 9995 2 2 1 0
1.625 9995 2 2 1 0
1.75 9995 2 2 1 0
1.875 9995 2 2 1 0
2 9995 2 2 1 0
2.125 9995 1 3 1 0
2.25 9994 2 3 1 0
2.375 9993 3 3 1 0
2.5 9992 3 4 1 0
2.625 9990 5 4 1 0
2.75 9990 5 4 1 0
2.875 9988 7 4 1 0
3 9987 7 5 1 0
3.125 9984 10 5 1 0
3.25 9978 16 5 1 0
3.375 9977 16 6 1 0
3.5 9974 18 7 1 0
3.625 9973 18 8 1 0
3.75 9973 18 7 2 0
3.875 9973 17 8 2 0
4 9969 19 10 2 0
4.125 9964 23 11 2 0
4.25 9964 22 12 2 0
4.375 9962 23 13 2 0
4.5 9956 27 15 2 0
4.625 9954 27 17 2 0
4.75 9951 27 20 2 0
4.875 9947 30 20 3 0
5 9944 33 20 3 0
5.125 9941 33 23 3 0
5.25 9939 34 24 3 0
5.375 9939 31 27 3 0
5.5 9937 32 28 3 0
5.625 9933 35 29 3 0
5.75 9931 37 29 3 0
5.875 9926 41 30 3 0
6 9925 40 31 4 0
6.125 9918 45 32 5 0
6.25 9917 42 36 5 0
6.375 9913 42 40 5 0
6.5 9906 45 43 6 0
6.625 9899 52 43 6 0
6.75 9893 55 46 6 0
6.875 9892 53 49 6 0
7 9886 57 51 6 0
7.125 9880 60 54 6 0
7.25 9876 58 59 7 0
7.375 9867 64 61 8 0
7.5 9861 67 63 9 0
7.625 9851 77 62 10 0
7.75 9840 82 68 10 0
7.875 9825 94 70 11 0
8 9818 93 77 12 0
8.125 9810 98 79 13 0
8.25 9799 101 87 13 0
8.375 9784 110 92 14 0
8.5 9766 119 99 16 0
8.625 9753 122 107 18 0
8.75 9741 126 110 23 0
8.875 9724 136 112 28 0
9 9718 134 119 29 0
9.125 9704 139 121 36 0
9.25 9684 148 130 38 0
9.375 9668 156 134 42 0
9.5 9653 159 143 45 0
9.625 9629 173 150 48 0
9.75 9608 183 159 50 0
9.875 9575 210 161 54 0
10 9552 220 170 58 0
10.125 9515 241 184 60 0
10.25 9486 249 196 69 0
10.375 9455 265 205 74 1
10.5 9449 256 211 83 1
10.625 9443 244 225 86 2
10.75 9440 237 230 91 2
10.875 9437 224 239 98 2
11 9433 206 251 108 2
11.125 9430 198 257 113 2
11.25 9423 196 260 119 2
11.375 9421 190 260 127 2
11.5 9420 179 261 138 2
11.625 9417 165 273 143 2
11.75 9415 153 284 146 2
11.875 9411 147 290 150 2
12 9408 147 284 159 2
12.125 9405 143 282 167 3
12.25 9401 137 281 178 3
12.375 9399 131 283 184 3
12.5 9397 122 289 189 3
12.625 9395 117 289 196 3
12.75 9394 110 292 201 3
12.875 9394 104 293 206 3
13 9389 106 290 212 3
13.125 9387 104 288 218 3
13.25 9385 98 293 221 3
13.375 9383 97 290 227 3
13.5 9382 95 287 233 3
13.625 9381 89 288 239 3
13.75 9379 87 287 244 3
13.875 9379 85 284 249 3
14 9378 79 285 255 3
14.125 9374 82 281 260 3
14.25 9368 80 282 267 3
14.375 9366 77 282 272 3
14.5 9362 77 284 274 3
14.625 9359 74 286 278 3
14.75 9357 69 286 285 3
14.875 9357 66 283 291 3
15 9356 64 277 300 3
15.125 9352 64 274 307 3
15.25 9348 63 274 312 3
15.375 9347 54 276 320 3
15.5 9346 52 275 324 3
15.625 9346 47 274 330 3
15.75 9344 47 272 334 3
15.875 9343 46 264 344 3
16 9341 47 257 352 3
16.125 9340 46 252 359 3
16.25 9339 46 250 362 3
16.375 9336 47 246 368 3
16.5 9335 45 243 374 3
16.625 9335 41 244 377 3
16.75 9333 40 240 384 3
16.875 9331 37 237 392 3
17 9329 35 235 398 3
17.125 9329 34 232 402 3
17.25 9328 33 229 407 3
17.375 9326 35 223 413 3
17.5 9325 34 224 414 3
17.625 9325 32 225 415 3
17.75 9324 32 219 422 3
17.875 9323 29 215 430 3
18 9320 29 215 433 3
18.125 9318 27 215 437 3
18.25 9315 26 214 442 3
18.375 9315 25 211 446 3
18.5 9313 25 211 448 3
18.625 9311 26 210 450 3
18.75 9310 27 206 454 3
18.875 9307 27 205 458 3
19 9304 27 198 468 3
19.125 9304 25 198 470 3
19.25 9303 22 198 474 3
19.375 9303 19 198 477 3
19.5 9303 19 195 480 3
19.625 9301 20 191 485 3
19.75 9299 22 188 488 3
19.875 9299 21 189 488 3
20 9299 19 188 491 3
20.125 9299 19 185 494 3
20.25 9297 18 183 499 3
20.375 9297 18 175 507 3
20.5 9294 21 171 511 3
20.625 9294 21 166 516 3
20.75 9293 20 165 519 3
20.875 9293 20 159 525 3
21 9292 20 159 526 3
21.125 9291 20 153 533 3
21.25 9291 19 151 535 4
21.375 9291 15 148 542 4
21.5 9291 15 148 542 4
21.625 9291 15 147 543 4
21.75 9291 14 145 546 4
21.875 9291 12 143 550 4
22 9291 10 142 553 4
22.125 9290 11 139 556 4
22.25 9290 9 137 560 4
22.375 9290 8 136 562 4
22.5 9290 8 132 566 4
22.625 9285 12 128 571 4
22.75 9285 11 127 573 4
22.875 9285 10 123 578 4
23 9285 10 118 583 4
23.125 9285 10 116 585 4
23.25 9284 10 115 587 4
23.375 9284 9 112 591 4
23.5 9284 8 111 593 4
23.625 9283 9 108 596 4
23.75 9282 10 105 599 4
23.875 9282 9 103 602 4
