t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9998 0 2 0 0
1.125 9998 0 2 0 0
1.25 9998 0 2 0 0
1.375 9998 0 2 0 0
1.5 9998 0 2 0 0
1.625 9998 0 2 0 0
1.75 9997 1 2 0 0
1.875 9997 1 2 0 0
2 9997 1 2 0 0
2.125 9997 0 3 0 0
2.25 9997 0 3 0 0
2.375 9996 1 3 0 0
2.5 9996 1 3 0 0
2.625 9996 0 4 0 0
2.75 9995 1 4 0 0
2.875 9993 3 4 0 0
3 9992 4 4 0 0
3.125 9990 6 4 0 0
3.25 9990 6 4 0 0
3.375 9990 6 4 0 0
3.5 9989 5 5 1 0
3.625 9988 6 5 1 0
3.75 9988 5 6 1 0
3.875 9986 6 6 2 0
4 9984 8 6 2 0
4.125 9982 9 7 2 0
4.25 9981 10 7 2 0
4.375 9980 11 7 2 0
4.5 9979 11 8 2 0
4.625 9978 12 7 3 0
4.75 9977 12 8 3 0
4.875 9976 12 9 3 0
5 9974 14 9 3 0
5.125 9972 15 10 3 0
5.25 9969 18 10 3 0
5.375 9969 15 11 5 0
5.5 9967 17 11 5 0
5.625 9965 19 11 5 0
5.75 9964 19 12 5 0
5.875 9962 20 13 5 0
6 9961 19 15 5 0
6.125 9960 20 14 6 0
6.25 9959 19 16 6 0
6.375 9958 19 17 6 0
6.5 9957 19 18 6 0
6.625 9955 21 18 6 0
6.75 9955 19 20 6 0
6.875 9955 19 20 6 0
7 9954 20 19 7 0
7.125 9951 22 20 7 0
7.25 9949 23 20 8 0
7.375 9943 29 20 8 0
7.5 9942 28 22 8 0
7.625 9938 30 22 10 0
7.75 9937 29 24 10 0
7.875 9934 31 25 10 0
8 9932 31 26 11 0
8.125 9927 30 32 11 0
8.25 9922 32 34 12 0
8.375 9916 35 36 13 0
8.5 9911 38 37 14 0
