t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 1 1 0
0.625 9997 1 1 1 0
0.75 9997 0 2 1 0
0.875 9997 0 2 1 0
1 9997 0 2 1 0
1.125 9997 0 2 1 0
1.25 9997 0 2 1 0
1.375 9997 0 2 1 0
1.5 9997 0 2 1 0
1.625 9996 1 2 1 0
1.75 9996 1 2 1 0
1.875 9996 1 2 1 0
2 9996 1 2 1 0
2.125 9996 1 2 1 0
2.25 9996 1 2 1 0
2.375 9996 1 2 1 0
2.5 9996 0 3 1 0
2.625 9994 2 3 1 0
2.75 9992 4 3 1 0
2.875 9992 4 3 1 0
3 9991 5 3 1 0
3.125 9985 11 3 1 0
3.25 9982 13 4 1 0
3.375 9981 12 6 1 0
3.5 9976 16 7 1 0
3.625 9975 15 9 1 0
3.75 9973 15 11 1 0
3.875 9966 22 11 1 0
4 9963 22 14 1 0
4.125 9960 23 15 2 0
4.25 9958 23 17 2 0
4.375 9955 23 20 2 0
4.5 9950 28 20 2 0
4.625 9948 29 21 2 0
4.75 9944 32 22 2 0
4.875 9941 30 27 2 0
5 9937 31 29 3 0
5.125 9932 35 28 5 0
5.25 9924 40 31 5 0
5.375 9919 40 34 7 0
5.5 9912 45 36 7 0
5.625 9902 54 37 7 0
5.75 9893 60 38 9 0
5.875 9883 63 45 9 0
6 9873 67 51 9 0
6.125 9855 78 58 9 0
6.25 9847 81 63 9 0
6.375 9829 92 70 9 0
6.5 9818 98 75 9 0
6.625 9802 114 74 10 0
6.75 9790 116 83 11 0
6.875 9771 126 91 12 0
7 9759 134 90 17 0
7.125 9745 136 101 18 0
7.25 9733 138 109 20 0
7.375 9709 150 118 23 0
7.5 9686 166 123 25 0
7.625 9663 173 138 26 0
7.75 9631 192 151 26 0
7.875 9603 205 164 28 0
8 9574 220 176 30 0
8.125 9549 232 188 31 0
8.25 9514 254 193 39 0
8.375 9474 275 207 44 0
8.5 9426 304 221 49 0
