t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9997 1 2 0 0
1.125 9996 2 2 0 0
1.25 9995 3 2 0 0
1.375 9995 3 2 0 0
1.5 9995 3 2 0 0
1.625 9995 3 2 0 0
1.75 9995 3 2 0 0
1.875 9994 4 2 0 0
2 9994 4 2 0 0
2.125 9994 4 2 0 0
2.25 9994 4 1 1 0
2.375 9994 4 1 1 0
2.5 9994 4 1 1 0
2.625 9994 4 1 1 0
2.75 9994 4 1 1 0
2.875 9994 3 2 1 0
3 9993 4 2 1 0
3.125 9992 5 2 1 0
3.25 9992 5 2 1 0
3.375 9992 5 2 1 0
3.5 9992 4 3 1 0
3.625 9991 5 3 1 0
3.75 9991 5 3 1 0
3.875 9990 6 3 1 0
4 9990 6 3 1 0
4.125 9989 5 4 2 0
4.25 9986 6 6 2 0
4.375 9985 7 6 2 0
4.5 9983 9 6 2 0
4.625 9981 10 7 2 0
4.75 9979 11 8 2 0
4.875 9978 11 9 2 0
5 9975 13 10 2 0
5.125 9973 14 11 2 0
5.25 9971 16 11 2 0
5.375 9968 16 14 2 0
5.5 9965 18 15 2 0
5.625 9961 21 15 3 0
5.75 9957 24 16 3 0
5.875 9955 24 18 3 0
6 9952 27 18 3 0
6.125 9945 32 19 4 0
6.25 9940 37 19 4 0
6.375 9939 37 19 5 0
6.5 9938 35 22 5 0
6.625 9933 36 26 5 0
6.75 9928 39 27 6 0
6.875 9926 39 28 7 0
7 9921 43 27 9 0
7.125 9919 44 27 10 0
7.25 9915 42 33 10 0
7.375 9908 48 34 10 0
7.5 9902 49 38 11 0
7.625 9899 48 41 12 0
7.75 9897 48 42 13 0
7.875 9894 50 43 13 0
8 9890 52 43 15 0
8.125 9877 63 44 16 0
8.25 9871 69 43 17 0
8.375 9863 73 45 19 0
8.5 9857 72 51 20 0
