t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9997 1 2 0 0
1.125 9997 1 2 0 0
1.25 9997 1 1 1 0
1.375 9996 2 1 1 0
1.5 9996 2 1 1 0
1.625 9996 2 1 1 0
1.75 9995 3 1 1 0
1.875 9995 3 1 1 0
2 9995 3 1 1 0
2.125 9995 3 1 1 0
2.25 9995 3 1 1 0
2.375 9995 2 2 1 0
2.5 9995 1 3 1 0
2.625 9995 1 3 1 0
2.75 9995 1 3 1 0
2.875 9995 1 3 1 0
3 9995 1 3 1 0
3.125 9995 0 4 1 0
3.25 9995 0 4 1 0
3.375 9995 0 4 1 0
3.5 9995 0 4 1 0
3.625 9995 0 4 1 0
3.75 9994 1 4 1 0
3.875 9994 1 4 1 0
4 9994 1 4 1 0
4.125 9994 1 4 1 0
4.25 9994 1 4 1 0
4.375 9994 0 5 1 0
4.5 9994 0 4 2 0
4.625 9994 0 4 2 0
4.75 9994 0 4 2 0
4.875 9993 1 4 2 0
5 9993 1 4 2 0
5.125 9993 1 4 2 0
5.25 9993 1 4 2 0
5.375 9992 2 4 2 0
5.5 9991 2 5 2 0
5.625 9990 3 5 2 0
5.75 9990 1 7 2 0
5.875 9990 1 7 2 0
6 9989 2 7 2 0
6.125 9987 4 7 2 0
6.25 9987 3 8 2 0
6.375 9986 4 8 2 0
6.5 9984 6 8 2 0
6.625 9983 5 9 3 0
6.75 9979 8 10 3 0
6.875 9977 9 11 3 0
7 9972 14 11 3 0
7.125 9970 16 11 3 0
7.25 9966 20 10 4 0
7.375 9961 23 12 4 0
7.5 9958 24 14 4 0
7.625 9950 31 15 4 0
7.75 9945 35 16 4 0
7.875 9934 44 17 5 0
8 9921 55 19 5 0
8.125 9913 62 20 5 0
8.25 9906 63 25 6 0
8.375 9895 71 28 6 0
8.5 9883 79 32 6 0
