t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 2 0 0
0.375 9996 2 2 0 0
0.5 9995 2 3 0 0
0.625 9995 2 3 0 0
0.75 9994 3 3 0 0
0.875 9994 3 3 0 0
1 9994 2 4 0 0
1.125 9992 4 4 0 0
1.25 9992 3 5 0 0
1.375 9992 3 5 0 0
1.5 9991 4 5 0 0
1.625 9989 5 6 0 0
1.75 9989 5 6 0 0
1.875 9988 5 7 0 0
2 9987 5 8 0 0
2.125 9985 7 8 0 0
2.25 9982 10 7 1 0
2.375 9981 11 7 1 0
2.5 9981 11 7 1 0
2.625 9979 10 10 1 0
2.75 9977 12 10 1 0
2.875 9976 13 10 1 0
3 9974 14 11 1 0
3.125 9972 15 12 1 0
3.25 9972 14 13 1 0
3.375 9965 19 14 2 0
3.5 9957 26 14 3 0
3.625 9953 27 16 4 0
3.75 9948 31 17 4 0
3.875 9937 41 18 4 0
4 9932 45 19 4 0
4.125 9925 49 21 5 0
4.25 9918 54 23 5 0
4.375 9911 60 21 8 0
4.5 9901 66 23 10 0
4.625 9892 71 27 10 0
4.75 9881 78 30 11 0
4.875 9871 82 36 11 0
5 9860 86 43 11 0
5.125 9847 94 47 12 0
5.25 9838 96 52 14 0
5.375 9829 101 56 14 0
5.5 9822 101 62 15 0
5.625 9807 111 67 15 0
5.75 9798 111 76 15 0
5.875 9787 114 84 15 0
6 9774 119 91 16 0
6.125 9749 138 96 17 0
6.25 9739 143 99 19 0
6.375 9722 154 103 21 0
6.5 9702 164 112 22 0
6.625 9677 176 123 24 0
6.75 9657 185 132 26 0
6.875 9636 192 145 27 0
7 9611 207 151 31 0
7.125 9576 234 157 33 0
7.25 9549 244 167 40 0
7.375 9511 268 176 45 0
7.5 9479 283 190 48 0
7.625 9442 304 197 57 0
7.75 9415 317 205 63 0
7.875 9382 334 221 63 0
8 9345 354 235 66 0
8.125 9301 380 247 72 0
8.25 9243 411 268 78 0
8.375 9174 450 293 83 0
8.5 9107 495 309 89 0
