t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9996 2 2 0 0
0.75 9996 2 2 0 0
0.875 9996 2 2 0 0
1 9995 3 2 0 0
1.125 9994 4 2 0 0
1.25 9994 4 2 0 0
1.375 9993 5 2 0 0
1.5 9993 5 2 0 0
1.625 9993 5 2 0 0
1.75 9992 5 3 0 0
1.875 9988 9 3 0 0
2 9988 9 3 0 0
2.125 9985 12 3 0 0
2.25 9982 15 3 0 0
2.375 9977 20 3 0 0
2.5 9972 25 3 0 0
2.625 9971 25 4 0 0
2.75 9968 27 5 0 0
2.875 9968 27 5 0 0
3 9966 28 6 0 0
3.125 9964 30 6 0 0
3.25 9958 34 8 0 0
3.375 9953 35 12 0 0
3.5 9947 38 15 0 0
3.625 9942 38 20 0 0
3.75 9934 44 21 1 0
3.875 9929 48 21 2 0
4 9925 47 23 5 0
4.125 9921 46 28 5 0
4.25 9914 51 29 6 0
4.375 9905 59 30 6 0
4.5 9892 68 34 6 0
4.625 9876 81 37 6 0
4.75 9867 81 44 8 0
4.875 9851 91 49 9 0
5 9835 105 50 10 0
5.125 9825 99 66 10 0
5.25 9816 98 75 11 0
5.375 9805 99 82 14 0
5.5 9789 112 84 15 0
5.625 9766 128 91 15 0
5.75 9731 155 97 17 0
5.875 9708 167 107 18 0
6 9682 186 114 18 0
6.125 9663 196 119 22 0
6.25 9643 205 129 23 0
6.375 9614 220 142 24 0
6.5 9590 232 153 25 0
6.625 9563 247 162 28 0
6.75 9535 257 179 29 0
6.875 9508 268 192 32 0
7 9477 278 206 39 0
7.125 9437 295 221 47 0
7.25 9403 314 230 53 0
7.375 9360 342 239 59 0
7.5 9314 365 258 63 0
7.625 9268 389 270 73 0
7.75 9222 415 279 84 0
7.875 9179 430 300 91 0
8 9123 457 325 95 0
8.125 9067 490 340 103 0
8.25 9007 517 367 109 0
8.375 8935 559 386 120 0
8.5 8872 592 408 128 0
