t S E I R D
0 9998 0 2 0 0
0.125 9996 2 2 0 0
0.25 9996 2 2 0 0
0.375 9996 2 2 0 0
0.5 9995 3 2 0 0
0.625 9995 2 3 0 0
0.75 9995 2 3 0 0
0.875 9995 2 2 1 0
1 9995 2 2 1 0
1.125 9994 3 2 1 0
1.25 9994 2 3 1 0
1.375 9994 1 4 1 0
1.5 9993 2 4 1 0
1.625 9993 2 4 1 0
1.75 9993 2 4 1 0
1.875 9991 4 4 1 0
2 9990 5 4 1 0
2.125 9990 4 5 1 0
2.25 9987 7 5 1 0
2.375 9986 8 5 1 0
2.5 9984 8 6 2 0
2.625 9984 8 6 2 0
2.75 9981 9 8 2 0
2.875 9977 13 6 4 0
3 9974 14 8 4 0
3.125 9972 15 9 4 0
3.25 9970 16 9 5 0
3.375 9968 15 12 5 0
3.5 9968 13 14 5 0
3.625 9963 18 13 6 0
3.75 9959 21 14 6 0
3.875 9958 22 14 6 0
4 9956 22 16 6 0
4.125 9951 27 15 7 0
4.25 9949 26 17 8 0
4.375 9947 24 21 8 0
4.5 9942 29 21 8 0
4.625 9939 30 21 10 0
4.75 9936 31 23 10 0
4.875 9931 35 24 10 0
5 9927 37 26 10 0
5.125 9922 42 25 11 0
5.25 9915 48 26 11 0
5.375 9913 46 30 11 0
5.5 9903 53 32 12 0
5.625 9895 58 28 19 0
5.75 9889 57 35 19 0
5.875 9882 61 38 19 0
6 9867 73 40 20 0
6.125 9857 81 42 20 0
6.25 9841 91 46 22 0
6.375 9827 98 52 23 0
6.5 9808 110 57 25 0
6.625 9792 120 62 26 0
6.75 9766 141 67 26 0
6.875 9736 159 77 28 0
7 9696 187 88 29 0
7.125 9656 219 96 29 0
7.25 9611 247 112 30 0
7.375 9581 266 123 30 0
7.5 9546 281 140 33 0
7.625 9507 299 156 38 0
7.75 9447 342 172 39 0
7.875 9396 377 185 42 0
8 9345 398 210 47 0
8.125 9274 442 230 54 0
8.25 9224 465 254 57 0
8.375 9169 495 272 64 0
8.5 9106 533 287 74 0
8.625 9029 573 316 82 0
8.75 8960 610 333 97 0
8.875 8882 641 375 102 0
9 8807 666 420 107 0
9.125 8737 682 469 112 0
9.25 8666 717 492 125 0
9.375 8606 734 522 137 1
9.5 8528 777 549 144 2
9.625 8459 803 581 154 3
9.75 8389 824 624 160 3
9.875 8307 862 651 177 3
10 8229 876 699 193 3
10.125 8141 914 742 200 3
10.25 8075 932 772 218 3
10.375 7988 968 804 237 3
10.5 7918 985 840 253 4
10.625 7852 992 880 272 4
10.75 7779 1003 933 281 4
10.875 7708 1006 978 304 4
11 7640 1019 1010 327 4
11.125 7562 1040 1047 346 5
11.25 7490 1050 1083 372 5
11.375 7422 1059 1130 384 5
11.5 7356 1072 1154 413 5
11.625 7292 1069 1203 431 5
11.75 7219 1088 1220 468 5
11.875 7167 1069 1267 492 5
12 7101 1082 1293 519 5
12.125 7034 1060 1357 544 5
12.25 6972 1049 1399 574 6
12.375 6901 1052 1435 606 6
12.5 6831 1070 1458 634 7
12.625 6768 1067 1494 664 7
12.75 6705 1066 1528 694 7
12.875 6658 1055 1556 723 8
13 6601 1037 1602 752 8
13.125 6532 1053 1625 781 9
13.25 6472 1033 1668 817 10
13.375 6412 1018 1708 851 11
13.5 6355 1014 1735 885 11
13.625 6304 999 1773 912 12
13.75 6252 998 1783 955 12
13.875 6192 991 1816 988 13
14 6133 984 1850 1020 13
14.125 6082 966 1877 1062 13
14.25 6028 945 1909 1105 13
14.375 5978 949 1914 1146 13
14.5 5930 934 1939 1183 14
14.625 5885 928 1946 1227 14
14.75 5831 920 1971 1264 14
14.875 5785 905 1992 1304 14
