t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9996 2 2 0 0
0.75 9996 2 2 0 0
0.875 9996 1 3 0 0
1 9996 0 4 0 0
1.125 9995 1 4 0 0
1.25 9992 4 4 0 0
1.375 9990 6 4 0 0
1.5 9987 8 5 0 0
1.625 9987 7 6 0 0
1.75 9984 10 6 0 0
1.875 9981 12 7 0 0
2 9980 12 8 0 0
2.125 9977 15 8 0 0
2.25 9976 16 8 0 0
2.375 9971 20 8 1 0
2.5 9969 22 8 1 0
2.625 9968 22 9 1 0
2.75 9965 23 11 1 0
2.875 9963 25 11 1 0
3 9957 29 13 1 0
3.125 9955 31 13 1 0
3.25 9952 32 15 1 0
3.375 9948 34 16 2 0
3.5 9944 36 18 2 0
3.625 9940 37 21 2 0
3.75 9930 45 21 4 0
3.875 9924 47 25 4 0
4 9908 61 26 5 0
4.125 9902 65 27 6 0
4.25 9897 63 33 7 0
4.375 9888 69 36 7 0
4.5 9880 70 43 7 0
4.625 9872 71 48 9 0
4.75 9859 80 52 9 0
4.875 9840 94 54 12 0
5 9812 116 60 12 0
5.125 9797 122 68 13 0
5.25 9779 134 74 13 0
5.375 9768 134 82 16 0
5.5 9754 136 90 20 0
5.625 9739 140 99 22 0
5.75 9725 148 103 24 0
5.875 9701 159 112 28 0
6 9670 182 117 31 0
6.125 9640 202 125 33 0
6.25 9609 217 139 35 0
6.375 9566 239 159 36 0
6.5 9517 274 170 39 0
6.625 9477 299 182 42 0
6.75 9446 311 197 46 0
6.875 9408 335 207 50 0
7 9356 367 220 57 0
7.125 9311 392 235 62 0
7.25 9265 413 257 65 0
7.375 9223 426 277 74 0
7.5 9179 441 303 77 0
7.625 9139 456 326 79 0
7.75 9089 478 349 84 0
7.875 9037 493 378 92 0
8 8963 532 404 101 0
8.125 8906 553 431 110 0
8.25 8831 602 449 118 0
8.375 8763 621 482 134 0
8.5 8687 657 514 142 0
