t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9996 2 2 0 0
1.125 9995 3 2 0 0
1.25 9995 3 2 0 0
1.375 9995 3 1 1 0
1.5 9995 2 2 1 0
1.625 9995 2 2 1 0
1.75 9995 2 2 1 0
1.875 9995 2 2 1 0
2 9995 2 2 1 0
2.125 9994 3 2 1 0
2.25 9994 3 2 1 0
2.375 9994 3 2 1 0
2.5 9994 3 2 1 0
2.625 9993 4 2 1 0
2.75 9993 4 2 1 0
2.875 9993 4 2 1 0
3 9993 4 2 1 0
3.125 9992 5 2 1 0
3.25 9991 5 3 1 0
3.375 9989 7 3 1 0
3.5 9989 7 3 1 0
3.625 9988 8 3 1 0
3.75 9986 10 3 1 0
3.875 9986 10 3 1 0
4 9986 8 5 1 0
4.125 9985 9 5 1 0
4.25 9985 9 5 1 0
4.375 9985 9 5 1 0
4.5 9985 9 5 1 0
4.625 9985 9 5 1 0
4.75 9985 9 5 1 0
4.875 9984 10 5 1 0
5 9983 11 5 1 0
5.125 9983 11 5 1 0
5.25 9983 11 5 1 0
5.375 9983 9 7 1 0
5.5 9983 8 8 1 0
5.625 9981 10 8 1 0
5.75 9978 13 8 1 0
5.875 9977 13 9 1 0
6 9975 15 8 2 0
6.125 9974 15 9 2 0
6.25 9972 17 9 2 0
6.375 9971 16 11 2 0
6.5 9971 16 11 2 0
6.625 9971 16 11 2 0
6.75 9969 18 11 2 0
6.875 9968 18 12 2 0
7 9967 18 13 2 0
7.125 9965 18 14 3 0
7.25 9964 19 13 4 0
7.375 9964 19 13 4 0
7.5 9963 18 15 4 0
7.625 9961 17 18 4 0
7.75 9960 17 17 6 0
7.875 9958 18 17 7 0
8 9955 21 17 7 0
8.125 9952 22 19 7 0
8.25 9950 21 22 7 0
8.375 9948 21 23 8 0
8.5 9946 21 25 8 0
