t S E I R D
0 9998 0 2 0 0
0.125 9998 0 1 1 0
0.25 9998 0 1 1 0
0.375 9997 1 1 1 0
0.5 9997 1 1 1 0
0.625 9997 0 2 1 0
0.75 9996 1 2 1 0
0.875 9996 1 2 1 0
1 9995 2 2 1 0
1.125 9993 4 2 1 0
1.25 9993 4 2 1 0
1.375 9993 4 2 1 0
1.5 9993 3 3 1 0
1.625 9993 3 3 1 0
1.75 9992 4 3 1 0
1.875 9991 5 3 1 0
2 9991 5 3 1 0
2.125 9991 5 3 1 0
2.25 9991 4 3 2 0
2.375 9990 5 3 2 0
2.5 9989 6 3 2 0
2.625 9989 6 3 2 0
2.75 9988 7 3 2 0
2.875 9988 7 3 2 0
3 9988 7 3 2 0
3.125 9987 7 4 2 0
3.25 9987 6 5 2 0
3.375 9987 5 6 2 0
3.5 9986 5 7 2 0
3.625 9986 5 7 2 0
3.75 9985 6 6 3 0
3.875 9985 6 5 4 0
4 9982 9 5 4 0
4.125 9980 10 6 4 0
4.25 9980 9 6 5 0
4.375 9979 10 6 5 0
4.5 9977 12 6 5 0
4.625 9976 12 7 5 0
4.75 9976 11 8 5 0
4.875 9972 15 8 5 0
5 9969 18 7 6 0
5.125 9967 19 7 7 0
5.25 9962 22 9 7 0
5.375 9950 32 11 7 0
5.5 9942 38 12 8 0
5.625 9930 48 14 8 0
5.75 9916 60 15 9 0
5.875 9906 65 20 9 0
6 9896 71 24 9 0
6.125 9887 77 26 10 0
6.25 9877 83 29 11 0
6.375 9861 95 33 11 0
6.5 9848 103 38 11 0
6.625 9830 113 45 12 0
6.75 9807 133 48 12 0
6.875 9792 143 52 13 0
7 9784 149 49 18 0
7.125 9769 155 57 19 0
7.25 9744 171 65 20 0
7.375 9726 180 73 21 0
7.5 9710 187 81 22 0
7.625 9689 192 95 24 0
7.75 9665 204 106 25 0
7.875 9644 210 118 28 0
8 9621 227 121 31 0
8.125 9590 246 128 36 0
8.25 9549 269 144 38 0
8.375 9519 279 160 42 0
8.5 9488 295 168 49 0
8.625 9461 303 185 51 0
8.75 9431 317 197 55 0
8.875 9398 324 220 58 0
9 9363 331 243 62 1
9.125 9351 327 255 66 1
9.25 9340 313 274 71 2
9.375 9325 308 290 75 2
9.5 9307 307 304 80 2
9.625 9289 308 316 85 2
9.75 9277 298 332 91 2
9.875 9268 284 353 93 2
10 9252 282 362 102 2
10.125 9229 280 376 113 2
10.25 9209 286 383 120 2
10.375 9194 284 393 127 2
10.5 9178 282 401 137 2
