t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9998 0 2 0 0
1.125 9998 0 2 0 0
1.25 9998 0 2 0 0
1.375 9998 0 2 0 0
1.5 9998 0 2 0 0
1.625 9998 0 2 0 0
1.75 9998 0 2 0 0
1.875 9998 0 2 0 0
2 9997 1 2 0 0
2.125 9997 1 2 0 0
2.25 9997 1 2 0 0
2.375 9997 1 2 0 0
2.5 9996 2 2 0 0
2.625 9996 2 2 0 0
2.75 9996 2 2 0 0
2.875 9995 3 2 0 0
3 9994 3 3 0 0
3.125 9994 3 3 0 0
3.25 9993 4 3 0 0
3.375 9992 5 3 0 0
3.5 9992 5 3 0 0
3.625 9992 5 3 0 0
3.75 9992 4 4 0 0
3.875 9992 4 4 0 0
4 9990 5 5 0 0
4.125 9989 6 5 0 0
4.25 9989 6 4 1 0
4.375 9988 6 5 1 0
4.5 9988 6 4 2 0
4.625 9987 7 4 2 0
4.75 9987 7 4 2 0
4.875 9987 7 4 2 0
5 9985 9 4 2 0
5.125 9985 9 4 2 0
5.25 9985 8 5 2 0
5.375 9984 8 6 2 0
5.5 9984 7 7 2 0
5.625 9983 8 6 3 0
5.75 9983 8 6 3 0
5.875 9981 7 8 4 0
6 9980 8 8 4 0
6.125 9979 8 9 4 0
6.25 9978 9 8 5 0
6.375 9976 10 9 5 0
6.5 9974 11 10 5 0
6.625 9972 13 10 5 0
6.75 9969 15 9 7 0
6.875 9966 17 10 7 0
7 9964 18 11 7 0
7.125 9964 16 13 7 0
7.25 9961 18 14 7 0
7.375 9961 18 14 7 0
7.5 9959 20 12 9 0
7.625 9957 21 11 11 0
7.75 9957 21 11 11 0
7.875 9956 21 12 11 0
8 9956 21 12 11 0
8.125 9953 22 14 11 0
8.25 9953 21 15 11 0
8.375 9952 21 15 12 0
8.5 9950 21 17 12 0
